stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,hatching.gland,liver,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,spinal.cord
  5-6,0,51.16,0,0,0,0,0,0,0,0,0,0,0,0,117.55,0,0,0
  7-9,6.52,0,0,0,0,0,0,0,0,0,0,0,36.79,3.71,132.61,0,0,0
 10-12,0,0,0,5.85,0,0,0,0,0,0,0,0,129.1,29.68,47.26,0,0,0
 14-21,0,0,0,0,2.02,0,0,1.02,0,0,0.97,2.04,5.21,0,233.99,0,1.37,0.9
 24-34,0,0,0,0,0,0,0,0.8,0,0,0,0,2.8,0,5.08,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,8.04,0,3.28,0.78,0,10.87
 48-58,0,0,0,0,0.89,0.85,0,0,0,0,0,0,14.28,0,0.59,0,0,0.93
 60-70,0,0,0,0,0,0.71,0,0,0,0,0,0,1.97,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.1,0,0,0,0.77,0,0.58,0,0,0,0,0
 84-94,0,0,0,0,3.39,2.33,0,0,0,0,2.88,0,0.93,0,0,0,0,0
 96-106,0,0,0,0,0.71,2.88,0,0,0,0.7,0,0,0,0,0.88,0.7,0,0
108-118,0,0,0.89,0,0,0,0,0,9.74,0.99,0,0,9.52,0,0,0,0,0
120,0,0,0,0,0,0,0,0,4.47,0,0,0,3.92,0,0,0,0,0
