stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,37.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.83,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0,0,6.58,2.86,0,0,0,0,1.01,0,0,0.88,0,0,0,0
 24-34,0,0.6,0,0,5.4,0,0,2.77,0,0,0,0,0,0,0,405.04,0,0,259.21,11.77,0,0,0,0.91,0,0,0,2.37,0,0,0,0
 36-46,0,2.39,0,0,3.18,0,0,10.1,0,0,0,0,0,0,0,2016.48,0,0,344.75,25.61,0,1.01,0,6.8,0,0,0.88,10.86,0,0,0,0
 48-58,0,0,0,0,15.45,1.09,0,4.34,0.57,0,1.08,0,1.04,0,0,2240.71,0,0,383.28,37.89,0,0,0.4,0.56,0,0,0,13.08,0,0,0,0
 60-70,0,0,0,0,31.64,0,0,4.32,13.29,0,6.63,1.57,0,0,5.7,2342.95,7.22,0,422.63,33.15,0,0,0,6.08,0,0,1.42,4.67,0,0,0,2.91
 72-82,0,17.81,0,0,83.89,1.95,0,0.89,1.6,1.02,5.67,0,0.59,0,0,3059.17,0,0,332.92,78.81,0,8.09,0,1.89,0,0,0,8.19,3.6,0.82,0.78,0
 84-94,0,4.99,0,0,104.23,0,0,7.6,9.52,0,9.62,1,0,0,0,2996.78,3.11,0,529.32,35.99,0.66,0,0,2.32,0,1.4,0,4.26,2.31,1.18,0.98,0
 96-106,0,8.07,5.1,1,69.1,0,0,3.61,5.71,0,14.07,0,1.05,10.57,0,2706.46,0.71,0,438.76,119.79,0,2.07,1.04,1.83,0,0,0,0,0,4.02,9.61,5.06
108-118,0,5.7,0,0,33.36,0,0.52,11.44,10.28,0,8.71,2.16,0.83,0,0.63,3514.02,0,4.52,328.6,157.6,0,0,0,2.63,0,0,0,2.15,0,9.85,0,3.69
120,0,7.71,0,0,83.96,0,0,0,2.07,0,26.49,5.82,0,0,0,2507.21,0,0,250.18,80.15,0,0,0,0,0,0,0,0,0,0,0,0
