stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,pronephros,spinal.cord,vasculature,xanthophores
 14-21,0,2.42,0,0,0,0,1.2,0,0,0,0,4.51,0,0,0,0,0.88,0,0
 24-34,0,1.97,0,0,1.07,0,0,0,0.79,0,0.85,51.74,0.77,0,0,0,6.54,0,0
 36-46,0,1.16,0,3.89,0.69,0.83,0,0,0,0,0.71,187.72,0,0,0,0,9.02,0,0
 48-58,0,0.88,0,10.69,0,2.73,0,0,0.55,0,1.72,296.28,0,0,0,0.61,14.04,0,0
 60-70,0,5.42,0,88.33,0,6.69,0,0,24.63,0,0,620.46,0,0,0,0,56.48,1.06,8.91
 72-82,0,0.8,0,155.81,0,12.24,0.64,0,12.63,0,0,662.84,0,0.75,1.77,0,44.37,0,2.08
 84-94,2.09,1.92,0,120.1,0,8.07,2.17,0.72,9.02,1.08,0,552.35,0,0,0,0,36.08,2.33,0
 96-106,3.63,1.36,0,112.76,0,5.16,0,0,16.56,0,0,299.95,0,0,0.81,0,7.72,0,0.8
108-118,0,1.2,0,82.81,0,6.81,0,0,17.11,0,2.01,363.73,0,0,1.95,0,14.25,0,0.48
120,0,0,1.79,145.98,0,6.97,0,0,14.15,0,0,386.34,0,0,0,0,23.6,0,0
