stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,11.43,0,3.33,0,0
 24-34,0,0,0,0,0,0,0.67,0,0,0,0,0,1.62,0,0.6,12.94,0,0,9.09,0,1.05,0,0
 36-46,0,0,0,0,0,0,0,0.57,0,2.16,1.49,0,2.83,0,0,7.36,0,0,12.83,0,1.45,2.92,0
 48-58,0,1.06,2.12,0,0,0,0.49,0,0.52,0.5,0.38,0.47,4.9,0,0,13.37,0,3.13,4.84,0,0,2.54,0.42
 60-70,0,12.74,0,0,0,0,0,0,0,0,0,0,0.73,0,0,46.64,0,0,7.68,0,1.85,0,0
 72-82,0,38.24,0,0,0,0.79,0,0,0,0,0,0,11.26,1.08,0,37.63,0,0,0,0,0,0,0
 84-94,0,3.48,0,0,0,1.16,1.24,0,0,0,0,0,10.76,0,0,38,0,0.65,11.18,0,1.52,12.15,0
 96-106,4,10.91,0,0.83,2.3,0.93,0,0,0.83,1.69,0,0,0,0,0,21.3,0.67,0,3.45,0,3.31,0.69,0
108-118,5.54,0.72,0.54,0.58,0,1.28,1.16,0,0,0,0.52,6.18,5.94,0,1.16,12.19,0.84,0.6,3.96,0,0,6.11,0
120,0,34.08,0,0,0,0,2.59,0,0,0,0,0,14.89,0,0,44.31,0,0,0,1.12,0,0,0
