stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,17.23,561.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.04,326.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,16.94,0,0,0,4.7,0,0,0,19.51,7.54,0,0,0,0,0,0
 10-12,0,5.71,4.23,0,0,0,0,0,0,23.44,0,5.24,0,0,0,0,0
 14-21,0,0,0,5.2,0,0,3.4,0,2.81,22.42,0,0.9,0.96,0.91,4.26,2.78,1.18
 24-34,0,0,0,0.81,0,0.8,0,0,0.62,20.75,0,0,0,0,0,9.68,2.47
 36-46,0,0,0,0,1.11,0,2.05,0,0,32.59,0,0,0,0,0,10.26,0
 48-58,0,0,0,0.4,0,1.3,3.05,0,0,5.35,0,0,0,0,0,2.83,2.65
 60-70,0,0,0,0,0,0,4.78,0,0,1.38,0,0,0,0,0,3.24,0
 72-82,0,0,0,0.88,2.82,0,0,0.81,0,5.75,0,0,0,0,0,0,0.83
 84-94,0,0,0,0,0,0,0,0.58,0.92,8.38,0,0,4.84,0,0,0,0
 96-106,0,0,0,0,0,0.75,8.74,0,1.79,0,0,0,0,0,0,0,1.22
108-118,0,0,0,0.65,0.85,0.51,0,0.47,0,0,0,0,0,0,0,0,0.5
120,0,0,0,0,1.77,0,6,0,0,0,0,0,0,0,0,0,0
