stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,19.88,233.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.55,188.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.36,4.07,0,0,11.63,0,0,0,17.85,0,0,0,0,0,0,86.12,0,14.21,0,0,0,0,0,0
 10-12,0,0,7.75,0,5.31,0,0,0,0,0,0,0,0,0,0,0,82.75,0,39.73,0,3.9,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,8.2,0,0,0,0,3.24,0.94,0,0
 24-34,0,0,0,0,9.82,0.69,0,0,0.67,0,11.95,0,0,0.64,0,0,3.65,0,0,0,0,0,0,14.39,0
 36-46,0,0,0,0,0,1.43,0,0,0,0,21.29,0,0,0,0,0,8.89,0,0,1.93,0,0,1.42,8.51,0
 48-58,0,0,0,0,0,0.47,0,0,0,0,1.32,0,0,1.08,0,0,1.23,0.38,0,2.68,0,0,0,4.77,0
 60-70,0,0,0,0.57,0,0.9,0,0,0,0,0,0,0,1.62,0,0,1.14,0,0,0,0,0,0,8.34,0
 72-82,0,0,0,0,0,11.27,1.74,1.23,0,0,11.16,0.86,1.6,1.59,0,0,0,0,0,0,0,0,0,10.27,0
 84-94,0,0,0,0,0,0,0,1.33,0,0,12.78,1.03,0,2.44,0,2.03,1.07,0,0,1.28,0,0,0,6.28,0
 96-106,0,0,0,2.41,0,1.26,0,0,0,0,12.1,1.25,0,5.51,0,0,0,0,0,1.36,0,0,1.68,12.71,1.36
108-118,0,0,0,2.96,0,0,0,0,0,0,12.21,0,0,0,7.12,0,3.38,0,0,2.51,0,0,0,17.68,0
120,0,0,0,5.11,0,0,0,0,0,0,9.06,0,0,0,0,0,0,0,0,0,0,0,0,9.11,0
