stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,45.27,1103.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.63,0,0,0,0,0,0,0
  5-6,43.31,735.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0,10.29,7.86,0,0,0,0,0,0,0
  7-9,3.28,0,3.82,0,0,28.61,0,0,0,0,6.77,0,0,0,0,0,0,288.21,16.81,0,0,82.75,3.28,0,0,0,0,0,0,0
 10-12,0,4.07,6.18,0,0,6.07,0,0,0,0,0,0,0,0,0,0,0,155.26,7.14,0,0,44.25,0,5.47,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,4.5,0,22.54,0,0,0,1.75,0,0,1.22,0,0,4.05,0,0
 24-34,0,0,0.64,1.76,1,2.73,0,0,0,0,0,0,0.59,0,0,2.56,2.2,29.63,0,1.61,0.76,0,0,0,0,0,0.78,5.4,0,0.63
 36-46,0,0,0,0,0,4.81,3.81,0,3.76,0,0,0,0,0,0.85,1.36,1.79,21.34,0,0,0,0,0,0,0,0,0,3.07,0,0
 48-58,0,0,0,0,0.42,7.89,0,0,1.16,0,0,0,0,0,0,4.06,0.88,19.81,0,0,0,0,0,0,0,0.37,0,9.09,0,0.52
 60-70,0,0,0,0,0,13.15,0,1.38,2.28,0,0,0,0,0,0,1.25,0,5.22,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.72,0.87,0,0,10.74,0.82,0,0,0,0,0,1.54,0,10.96,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,2.59,0,7.23,0,0,0,0,0,0,0,0,0,5.83,0,0
 96-106,0,0,0,2.01,2.31,8.07,0,0,2.2,0,0,0,0,0,0,1.73,0,9.11,0,0,0,0,0,0,0,0,0,0.63,0,0
108-118,0,0,0,0,0.61,4.62,0,0,6.5,0,0,0.63,0,0,0,1.99,0.6,7.93,0,1.25,0,0,0,0,0,0,0,0,0.67,0
120,0,0,0,0,13.08,8.37,0,0,4.23,0,0,2.26,0,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
