stage,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,44.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.47,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.96,0,0,0,0,0,0,0
 14-21,0,0,6.73,0,0,1.17,0,0,0,0,0,0,0,0,0,4.16,0,0,20.23,1.25,0,0,0
 24-34,0,0.66,2.92,0,0.99,0.7,0,0,0,2.34,0.78,0,0,0,0.64,1.97,0,0,78.92,0,0,0,1.49
 36-46,0,0,4.42,0,0,0,0,0,0,1.01,0,2.7,0,0,0,5.44,0,0.75,58.61,0,0.62,0,0
 48-58,0,0,0.45,0,1.13,0,0,0,0,0,0,1.2,0,0,0,0,0,1.13,63.37,0,0.93,0,0
 60-70,0,0,10.03,0,0,0,0,29.94,0,0,0,0,0.73,0,0,0.73,0,0.83,34.72,0,0,0,0
 72-82,0,0,1.7,0,0,0,3.96,1.25,0,0,0,0,0,0,0,0,0,0,14.86,0,0,2.92,0
 84-94,0,0,0,0,0,1.42,0,2.33,0,0,0,1.94,0,0,0,0,0,0.76,41.3,0,0,1.95,0
 96-106,0,0,9.11,0,0,2.3,0,2.31,3.19,0,0.63,0,0,0,1.46,2.18,0,0,26.6,0,0,0.7,0
108-118,0,0,20.13,0,3.35,0,0,30.37,0,0,0,0,0,0,0,6.23,0,0.98,34.9,0,0,0,0
120,0,0,3.48,2.69,0,0,0,0,0,0,0,3.01,0,6.92,2,8.03,0,0,37.33,0,0,0,0
