stage,fast.muscle,immune,mesenchyme,neural
 24-34,0,6.99,0,1.35
 36-46,0,3.48,0,0
 48-58,0,6.01,0,0
 60-70,0,13.15,0,0
 72-82,0,10.07,0,0
 84-94,0,34.1,0.76,1.3
 96-106,0,28.38,0,0
108-118,0.64,15.42,0,0
120,0,12.08,2.02,0
