stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,gut,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,38.86,89.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.52,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.42,0,0,0,0,0,0,0,0,0,34.66,0,0,0,0,0,0,0,0
 14-21,0,0,12.11,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0.9,2.1,0,0,0,0,0,0,0,0
 24-34,0,0,18.53,0,0.81,0,0,0,0,0,0,1.01,0,0,0,1.52,0,2.26,0,0,0,1.66,0,0.63,0,0
 36-46,0,0,61.85,0,0.81,0,0,0.68,0,0,0.59,0,0,0,0,0,0,2.43,0,0,0,41.16,0,2.88,0,1.52
 48-58,0,0,31.07,0,0,0,0,1.43,0,0,0,1.82,0,0,0,0,0,10.66,0,0.86,0,3.04,0,1.29,0,0
 60-70,0,0,15.79,0,0.73,0,0,0,0,1.03,0,0,0,0,0,0,0,7.55,0,0,0,0,0,0,0,0
 72-82,0,0,36.95,0,0,0,0,0,0,0,0,0,0,1.05,0.52,0,0,6.69,0,0,0,0.58,8.7,0,0.54,3.15
 84-94,0,0,15.12,0,0,0,0,1.23,0.68,0,0,0,0,0,0,0,0,3.71,0,0,0,2.33,29.64,0,0,0
 96-106,0,0,22.01,0.58,1.95,0,0,0,2.37,0,0,0,0,2.82,0,0,0,2.82,0,0,0,3.72,18.77,0,1.81,0
108-118,0,0,26.71,2.28,0,1.88,5.2,0.55,0.78,0,0,0,0.78,0.56,0,0,0,6.18,0,0,0,5.09,36.01,0,0.72,0
120,0,0,25.95,0,0,0,0,0,0,0,0,0,0,1.85,0,0,2.6,1.96,2.55,0,0,7.31,29.38,0,0,0
