stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,747.47,12734.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621.29,0,0,0,0,0,0
  5-6,764.92,10076.29,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,291.94,8.9,0,40.98,171.75,0,0,0,0,0,0
  7-9,100.88,76.42,0,64.81,0,0,333.22,0,0,0,88.86,0,0,0,0,0,2628.55,124.42,0,1070.86,6.63,39.73,0,0,0,0,0
 10-12,0,0,0,65.63,0,0,95.92,0,0,0,7.77,0,0,0,0,0,706.55,20.54,0,280.22,0,19.34,0,21.65,0,0,4.47
 14-21,0,0,0.82,0,31.81,4.91,9.17,0,5.96,2.72,0,0,0.93,12.62,0,6.63,73.27,9.24,2.36,1.8,5.44,0.9,31.17,0.96,6.5,21.01,31.25
 24-34,0,0,0,0,1.46,0.68,0,0.6,0.7,0,0,0.67,0,0,0,0.69,7.97,7.49,0,0,18.51,0,0,0,0,1.31,6.9
 36-46,0,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,2.78,1.14,0,0,10.76,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0.96,0,0,2.14,0,0,0,6.19,0,0,0,0,0,0
 60-70,0,0,0,0,0.9,0,0,0,0.69,0,0,0,0,0,0,0,1.78,0,0,0,3.59,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0.53,2.2,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,2.95,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1.64,0,0,0,0,0,0
