stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,85.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0,0,0
  5-6,19.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.39,0,0,0,0,0,0,0,0,0,0,0,22.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,13.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.12,0,0,0,33.11,0,3.1,0,0,0,5.05,0,0,0,0,0
 14-21,0,0,5.41,24.92,3.78,3.48,0,0,0,6.15,0,0,0.81,0,2.89,0,0,0,1.71,6.38,0,0,11.7,654.36,3.59,4.56,2.71,0,0,0,2.16,2.38,3.85,8.16,64.72,0,0,0,0
 24-34,0,1.1,0.61,6.44,2.17,19.89,0,1.1,0,15.07,0,0,0,0,5.29,0,0,0,0,6.8,0,0,3.12,1475.72,1.09,1.39,0,0,0,1.73,0,0,0,3.32,122.55,0,0,10.41,0
 36-46,0,0,0,18.91,0,8.1,2.1,0,0,58.63,0,0,2.97,0,0,0,0.72,0,0,5.46,0,0,2.73,2984.37,0,5.82,0.71,0,0,19.82,0,0,0,0,162.51,0,0,6.5,0
 48-58,0,0,0,14.81,3.37,124.3,0,2.41,1.43,141.9,0,0,0.94,0,1.44,6.55,0,0,1.28,23.32,0,6.16,10.17,4592.38,6.81,3.26,7.36,0,0,0.77,0,0,1.19,0,188.54,0,0,11.64,6.44
 60-70,0,7.65,0,3.46,0,459.51,2.11,5.52,4,214.73,0,0,0,0,0.59,0,1.2,0,0,60.19,0,0,1.32,7975.12,3.14,5.02,6.34,0,0,13.88,0,0,0,0,312.25,0,0,8.74,0
 72-82,0,0.98,0,14.63,8.3,661.72,0,0,13.61,203.84,2.78,0,0,0,2.04,3.56,0,1.4,3.6,40.97,0,7.09,6.02,7426.61,0,3.59,6.65,0,0.72,8.36,0,0,0,0,244.16,9.88,0.63,14.16,3.94
 84-94,0,0,0,34.53,5.38,502.58,0,0.63,4.65,146.22,0,0,2.31,4.05,1.75,1.25,0,2.93,0,43.87,0,3.22,3.4,4858.98,1.37,2.22,0,0,0,24.43,0,0,0,0,115.99,0,4.75,10.36,0
 96-106,0,0.63,0,27.18,15.71,628.07,0.87,2,11.66,81.65,0.93,0,0.71,3.02,1.51,1.5,0,5.48,2.77,54.54,0,1.74,2.6,3849.3,0.65,5.7,2.97,0,2.56,17.77,0,0,3.78,0,86.72,2.03,2.8,1.58,7.02
108-118,0,0.83,0,19.54,4.56,491.2,0.56,3.96,0,151.56,1.91,0,0,2.99,0,0,0,0.48,1.02,43.02,0.91,0,3.09,4197.65,0,1.76,3.15,0,2.47,11.06,0,0,0,0,103.84,0.55,0,4.97,8.52
120,0,0,0,31.06,4.13,584.49,0,6.88,0,185.22,0,0,0,2.88,1.89,0,0,9.76,0,106.79,0,11.82,0,6518.34,2.48,0,0,0,0,15.09,0,1.13,1.63,0,140.13,0,0,15.01,0
