stage,blastomeres,epidermis,eye,fin_epithelia,glial,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,notochord,olfactory,paraxial_mesoderm,periderm,taste
  3-4,9.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81,5.37,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,7.72,0
 14-21,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,4.46,0
 36-46,0,0.65,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0.86,0,0,0,2.73,0,0,0,0,0,1.93,0.65,2.63,0,0,0,6.69,0
 60-70,0,5.58,0,0,0,0,0,0,0,0,0,1.99,0,3.36,0,0,0,6.82,0
 72-82,0,0.65,0,0,0,0,0,0,0.55,0,0,1.26,0,0.87,0,0,0,0,0
 84-94,0,4.99,0,0,0,2.01,0,0,0,0,0,1.87,0,15.1,0,0,0,2.97,0
 96-106,0,2.16,1.2,0,0.59,1.06,0,0,0,0.59,0,8.06,1.23,1.39,0,0,0,15.73,0
108-118,0,5.15,0,0.59,0,0,0,3.21,0,0,1.1,1.18,11.06,0.58,0,2.57,0,3.13,0.48
120,0,1.16,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74,0
