stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,41.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,10.55,0,0,0,0,0,0
 10-12,0,3.65,0,0,10.52,0,0,0,0,0,0,0,0,0,26.35,0,6.8,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,2.49,0,0,0,0.82,0,0,0,0
 24-34,0,0,2.03,0,0,0,0,0,0,0.87,0,1.28,0,0,3.25,0,0,0,0,1.15,0,0,0
 36-46,0,0,3.01,0,0,0,0,0,0,0,0,0,0.66,0,0.78,0,0,0,0,1.42,0,0,0
 48-58,0,0,43.96,0,0,2.97,4.62,0.56,0,0,0,2.94,0.42,0,4.33,0,0,0,0,2.09,0,0,0
 60-70,0,0,117.8,0,1.59,4.71,2,1.48,2.37,0,0,27.93,0,1.46,23.56,0,0,0,0,0.7,0,0,0
 72-82,0,0,134.48,4.18,6.7,4.41,0,0,0,0,0,55.22,3.62,4.36,21.94,0,0,3.01,0,0,0,1.61,0
 84-94,0,0,311.98,0,6.29,13.65,0.85,0,0,0,0,48.74,3.13,3.54,10.43,0.64,0,0,0,0,0,0,0.93
 96-106,0,0,195.89,0,5.98,6.1,1.63,1.14,0.66,0,9.42,36.55,1.4,3.15,8.09,0,0,0,0,0,0.89,0,0.91
108-118,0,0,245.16,0,1.22,9.61,0,2.78,0,0,0,49.77,0.73,0.52,7.19,0,0,0,0,0,0,0,0
120,0,0,157.9,3.6,0,17.02,0,0,0,0,0,4.36,0,0,26.48,0,0,0,0,0,0,0,0
