stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,37.06,692.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.23,0,0,0,0,0,0,0,0,0,0
  5-6,0,110.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.54,0,0,0,9.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.97,0,0,0,31.02,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,7.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.64,0,0,0,30.54,0,0,0,31.6,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,22.74,17.72,0,1.86,0.95,0,0,4.37,0,5.44,4.29,0,0,0,0,0,27.83,0,0,13.12,36.49,0.81,0,1.05,1.7,0,22.14,7.9,1.65,0.83,17.79,15.5,0,0,0,0,0
 24-34,0,0,0.66,0.65,14.51,2.61,0,4.01,3.5,0,3.3,1.01,0,10.98,8.62,3.45,0,0,0,0,11.04,0.91,1.63,11,48.14,0,0,1.36,0,1.14,32.68,0,0.85,0,2.25,9.69,0,0,2.07,0,7.36
 36-46,0,0,0,0,6.32,0,0,2.16,1.14,0,3.24,0,0,3.54,12.96,0,0.56,0,0,0,26.32,0,0,4.57,50.32,0,1.02,0,0,8.6,55.41,0,2.13,0,0,3.93,0,0,1.65,0,0
 48-58,0,0,0,0,8.7,0,0,17.99,5.86,3.62,9.12,0.38,0,3.1,24.27,0.38,0,1.39,0.58,0,35.49,1.18,1.39,6.8,33.58,0.57,2.4,0,0,5.8,70.06,0,0,0,0,14.6,0,0,4.51,0,6.09
 60-70,0,0,0,0,6.25,0,0,11.53,2.35,1.69,27.66,0.62,1.71,9.38,14.02,10.52,0,0.73,0,6.83,44.74,3.18,4.37,5.18,41.21,0,0,1.41,0,0,81.37,0,2.06,0,0,1.06,0,0,2.07,0,0
 72-82,0,0,2.59,0,11.26,0,0,30.93,0,0.7,10.45,0.61,0,1.08,29.8,0.74,0,0.55,0,0,51.36,2.06,4.73,13.34,37.06,0,4.68,2.67,0,0,50.52,0,1.25,0,0,9.93,3.65,3.42,4.85,4.56,7.59
 84-94,0,0,9.46,0,4.28,1.4,0,29.74,1.96,2.82,5.51,3.96,0,2.16,40.93,1.69,0,1.34,6.85,0,34.73,6.46,3.52,3.23,14.27,0,5.51,2.76,0,2.15,163.61,0,3.98,0,0,1.81,0,0,1.35,2.38,2.4
 96-106,0,0,0,0,29.06,2.85,0.94,23.94,14.37,0.86,6.18,7.34,0,0,50.28,4.99,0,0,3.11,0,47.87,0,3.66,4.93,38.54,0,4.98,2.65,0,2.4,201.15,0,2,0,0,0,1.68,2.1,0.73,6.11,0
108-118,0,0,2.51,0,21.27,0.54,0,32.59,4.55,0,15.09,4.96,0,0,67.31,4.29,1,1.11,3.82,0.58,57.99,2.69,2.54,3.46,47.95,0.62,1.89,2.67,0,2.56,137.55,0,2.48,0.5,0,9.48,0.44,0,5.03,4.17,0
120,0,0,0,0,23.04,5.49,0,1.33,0,1.58,10.29,4.51,0,10.06,64.16,0,0,2.6,5.26,0,31.06,0,11.33,15.14,27.6,0,7.72,17.87,0,0,57.59,0,1.02,0,0,0,0,6.86,4.8,3.15,0
