stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,47.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.78,0,0,0,0,0,0,0,0,0,0,0,0,3.04,3.95,0,0,15.68,0,0,0,0,0,0,0
 14-21,0,0,4.47,0,0,0,0,0,0,0,0.81,0,0,0.83,0,0,311.2,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.71,1.84,0,5.65,0.85,1.24,0,0,8.02,0,0,0,3.49,0,0.61,1299.96,6.1,0.65,0,0,0,0.79,0,10.95,0,0,0
 36-46,0,0,0,0,1.99,0,0,0,0,0,0,0,0,1.67,0,0,342.15,3.33,3.23,0,0,0,0,0,10.59,0,0.69,0
 48-58,0,0,0.41,0,87.75,0,0.38,0,0,0,0,0,0.53,5.76,0,0,497.98,0,0.94,1.8,0,0,0,0.4,3.3,0,0,0
 60-70,0,0,0,0,4.39,0,0.79,0,0,0.92,0,0,0,3.29,0,0,764.38,0,0,1.82,0,0,0,0,2.32,0.81,5.04,0
 72-82,0,0,0,0,12.09,0,1.86,0,0,0,0.64,0.65,0,6.35,1.61,0,240.55,0,3.1,0,0,0,0,0,0,0,0,6.63
 84-94,0,0,0,0,1.25,0,0,0,0,0.77,0,0.69,0.95,1.36,0,0,1.98,0,0,0,0,0,0,1.21,0,2.74,0,0
 96-106,0,0,0.99,0.63,1.93,0,0,0,0,0.96,0,0,0,0,0,0,86.16,0,2.27,0,0,1.77,0,0,0,17.58,0,0
108-118,0,0,3.78,0,0.78,0,0,0.82,0,1.33,1.73,0,0.53,4.43,0,0,1490.43,0,0,0,0,0,0,0.48,0,0,0,0
120,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,0,0,2646.85,0,0,0,0,0,0,0,0,0,0,0
