stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,1812.67,32224.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2103.68,0,0,0,0,0,0,0,0
  5-6,1263.75,20206.81,12.33,0,0,0,0,0,0,21.99,0,0,0,0,0,0,391.78,0,176.83,526.68,0,0,0,0,0,0,0,0
  7-9,16.12,61.28,22.16,0,111.16,0,0,0,0,132.36,0,0,0,0,0,0,2031.23,63.68,1517.23,9.06,11.75,0,0,0,0,0,0,0
 10-12,0,20.89,7.64,0,9.51,0,0,0,0,29.17,0,0,0,0,0,0,170.57,12.35,287.47,0,0,0,3.81,0,15.54,0,0,0
 14-21,0,0,0,0.99,0.81,0,0,0,0,2.29,0,0,0,0,5.57,2.83,12.45,0,0,0,0,27.77,0.9,7.35,53.03,0.96,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,1.22,1.61,0,0,0,0,0,0,2.99,1.88,0.78,0.73,0
 36-46,0,0,0,0,0,7.95,0,0,0,0,0,0,0,0,1.4,0,5.98,0,0,0,0.81,0,0,0,0,1.33,0,0
 48-58,0,0,0,0,0,5.56,0,0,0,0,0,0,0.39,0,0.38,0.66,17,0,0,0,0,0,2.86,0,0,0,0,0
 60-70,0,0,0,0,12.88,0,0,0,0,0,0,10.14,0,0,0,0,5.14,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.18,0,1.19,1.89,0,0,0,0,0,0,1.85,0,26.39,0,0,0,0,0,0,0,0,0,1.09,0
 84-94,0,0,0,0.9,2.71,0,0,0,2.85,0,0,0,0,0,1.11,0,8.55,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,4,0,0,1.8,0,0,0.78,0.66,0,0.65,0,0,17.46,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,5.63,0,0,2.91,0,0,0,0,1.89,0.51,0,0,6.35,0,0,0,0,0,0,0,0,0,0,0.51
120,0,0,0,1.28,16.92,0,0,1.59,0,0,0,0,0,0,4.02,0,11.99,0,0,0,0,0,0,0,0,0,0,0
