stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,13.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.59,0.86,1.25,0,0,2.35,0,0,0,0,0,0,0,14.01,0,0.98,0,0,0,19.46,0,0,0,0,0,0.87,0,0.98,2.53,0,0,0,0
 24-34,0,0,1.23,0,3.8,0,0,0.79,0,0,0,0,0,0,0,6,2.82,2.24,0,0,1.33,55.16,0,0,0,0,7.61,0,0,0.63,16.65,0,0,0,0.6
 36-46,0,0,0,0,6.21,0,0,2.12,0,0,0,0,0,0,0,0.67,0,4.6,0,0,0,39.39,0,0,0,0,14.21,0,0,0,15.32,0,0,2.38,0
 48-58,0,0,3.7,0,14.15,0,0,2.72,0,0.48,0,0,0,5,0.38,1.26,1.03,16.63,0,0,0.98,47.58,0,0,0,0,0,0,1.12,0,15.71,0,0,0,0
 60-70,0,0,1.99,0,20.89,3.01,0,4.32,0,0,0,1.8,0,3.94,0,1.41,0,18.97,0,0,0.65,85.94,0,0,0,2.07,0,0,0.59,0,13.39,0,0,0,0
 72-82,0,0,1.71,4.3,34.24,0,2.51,15.79,0.71,0,0,0,0,4.82,0.51,4.08,0,19.45,2.15,1.15,0.82,48.19,0,0,0.53,0,3.39,0,0,0,4.25,0,0,3.7,0
 84-94,0,0,3.45,0,8.5,0,0,0,3.89,0,0,2.59,0.71,0,0,1.64,0,8.11,0,0,0,15.47,0,0,0,0,6.21,0,0,0,6.72,0,0,3.22,0
 96-106,0,0,6.44,6.14,8.68,1.53,0,11.83,0,0,0,0,0,2.17,0,0,0,9.99,0,0,0,42.71,0,1.63,0,0.81,4.97,0,0,0,1.63,0,0,1.04,0
108-118,0,0.74,2.66,0,19.73,1.7,0,7.92,0.46,0,2.89,0,1.33,4.58,0.49,0.99,0,7.04,0,0,0,22.3,0.58,0,0,0,3.25,0,0,0,1.27,0.91,0,0.86,2.03
120,0,0,14.99,0,7.59,0,0,4.12,0,0,0,0,0,2.67,0,0,0,27.11,0,0,1.99,52.44,0,0,0,0,1.57,0,0,0,0,0,1.51,15.48,0
