stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,15.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.12,0.83,0,6.58,0,1.72,0,0,0,0,0,0,1.11,0,0,7.42,13.57,0,0,11.67,23.83,0,0,0,0,0,2.06,0,0.86,0.83,7.67,0,0,0,0,12.45
 24-34,0,0,1.28,0.81,0,4.54,0,3.96,0,0,0,0,0,0,1.91,0,0,11.27,20.13,0,0,10.12,115.79,0,0,0,0,0.72,0,0,0,0,20.49,0,0,0.93,0,55.84
 36-46,0,0,3.2,0,0,13.82,0,0,0,0,0.67,0,0,0.56,4.65,0,0,7.35,31.82,0,0,9.33,231.57,0.64,1.48,0,0,0,0,0,0,0,20.21,0,0,0,0,110.41
 48-58,0,0,0,0,0,31.41,0,0,10.78,1.77,0,0,0,0.44,0.4,0,0,0,48.2,0,0,15.8,377.02,0,1.02,0,0,0,0,0,1.53,0,8.56,0,0,0,0,112.84
 60-70,0,0,2,0,0,322.11,1.59,0,4.8,2.12,0,0,0,1.15,1.55,0,0,3.27,43.51,0,0,5.63,571.38,0,0,0,0,0,0,0,3.63,0,5.55,0,0,0,0,290.08
 72-82,0,0,11.02,5.7,0,861.63,1.44,0,7.7,11.68,0,0,0,0.5,5.96,0,1.03,1.49,49.6,0,0,14.12,802.7,0,0,0,0,3.26,0,0,1.5,0,3.93,0,0,3.19,1.41,643.09
 84-94,0.62,0,5.76,0,0,949.36,0.67,0,6.13,19.2,0,0,0,6.52,2.58,0,4.46,2.08,46.61,0,0,16.04,514.54,0,0,0,0,13.3,0,0.83,0.79,0,7.33,0,0,2.36,0,579.53
 96-106,0,0,5.13,2.6,0,1197.98,11.31,0,2.48,40.67,2.21,2.53,1.61,0.7,2.28,0,17.21,7.76,32.75,1.24,3.51,7.44,489.24,0,3.15,0,0,0.88,0,0,1.58,0,0,0,2.14,3.7,2.49,1343.65
108-118,0,0,5.95,0,1.83,1337.21,7.44,0,21.11,30.28,0,0,2.74,8.46,9.31,1.26,13.61,21.66,37.03,0.48,0,11.88,703.38,0,1.48,8.2,1.35,1.1,0,0,2.74,0,0,1.75,0,3.2,0,2268.53
120,0,0,39.99,14.31,0,516.98,0,2.56,17.01,15.07,0,0,0,17.58,6.51,0,1.14,23.65,48.08,0,0,8.81,1026.54,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0,662.42
