stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.95,293.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0,0,0,0,0,0
  5-6,0,275.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.97,0,0,0,7.98,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.27,0,0,0,5.91,0,0,4.57,0,0,0,0,0,0,0
 10-12,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.24,0,3,0,0,6.37,0,0,0,0,0,0,1.34,0,0,0,3.24,2.25,0,2,28.98,0,0,0,1.78,0,0,0,0,8.81,0,0,0,0,7.67
 24-34,0,0,3.34,0,1.65,0,0,39.19,0.72,0,0,0,1.36,0,2.78,0,0,0,41.09,1.72,0,2.47,287.36,1.56,20.34,5.96,0,0,1.27,0,0.99,56.89,0,0,3.83,0,41.67
 36-46,0,0,0,0,0,0.67,0,44.78,0,0,0.97,0,0,0,1.63,0,0,0,28.66,9.43,0,0,693.64,0,35.08,2.26,0,0,1.04,0,4.81,109.89,0,0,8.7,0,33.31
 48-58,0,0,0,0,4.44,0,0,84.75,0,0,11.62,0.41,0,1.53,0,0.41,0,0,9.14,6.12,0,5.61,879.9,0,22.03,0,0,0,2.76,0,0,99.85,0,0,1.14,0,15.6
 60-70,0,0,0,0,0,0.57,0,507.53,0,0,9.61,0,0,1.9,2.41,0,3.35,0,0,11.86,0.99,2.73,1338.1,0.68,23.57,6.99,0,1.08,3.59,0,0,100.13,0,3.1,0,0,14.82
 72-82,0,0,0,0,11.68,6.93,0,835.14,1.27,0,25.3,0,1.51,0,0,0.62,0.49,0,0.87,42.03,1.31,0.92,1564.98,0.57,30.26,6.24,0,0,0,0,0,140.54,1.96,5.27,2.93,0,16.12
 84-94,0.62,0,0,0,2.91,0.92,0,897.77,0,0,21.27,0.64,0,0,0.8,2.13,2.45,7.69,2.36,32.11,0,0.78,1116.69,2.05,35.27,5.64,0,0.77,2.75,0,0,78.94,1.9,0.68,0,4.19,0
 96-106,0,0,0,0,20.99,4.11,0,484.67,0,0,15.92,3.78,0,4.12,0,0,6.68,10.66,8.34,16.34,4.96,0,1025.47,1.64,40.93,15.33,0,0,2.54,0,0,31.75,5.7,2.67,1.31,2.7,20.21
108-118,0,0,1.18,0.74,12.33,0,2.51,491.02,1.63,0.98,17.73,1.1,0,1.21,0,0,5.93,2.34,1.19,15.3,5.38,0,1466.75,0,46.92,11.56,0,0,1.18,0,0,23.93,6.65,2.7,1.44,0,1.25
120,0,0,0,0,12.22,4.59,0,355.78,0,1.04,13.44,0,0,0,0,0,1.79,0,3.89,13.3,2.35,0,1861.28,0,28.44,37.07,0,0,0,0,0,51.39,0,12.86,0,17.7,0
