stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.56,472.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.9,0,0,0,0,0,0,0,0,0
  5-6,7.23,111.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.23,11.8,0,3.67,0,0,0,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.44,3.78,0,0,36.3,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.17,3.71,0,0,8.65,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.05,3.37,0,0,0,0,0,0,0,0,0,12.25,0,0,0,0,0,0,1.46,24.25,8.96,3.25,0,0,0,0,0,0,1.02,7.5,0,0,0,0,1.85
 24-34,0,0,0.67,0,0,8.8,0,1.92,0.93,0,0,2.04,0.66,0,0,49.67,0,0,0,3.37,8.04,0,18.08,104.7,0.64,19,0,0,0,0,3.46,1.47,2.08,35,0,0,13.69,0,4.34
 36-46,0,0,0,0,0.79,1.52,0,3.13,10.87,0,0.62,2.59,0,0,0.57,109.33,0,0,0,17.51,69.1,0,11.63,169.78,0,21.69,0.58,0,0,0,0,0,0,57.63,0,0,12.62,0,50.02
 48-58,0,0,0,0,1.36,0,0,32.56,7.51,2.33,1.51,5.53,0,0.93,0,78.05,3.73,0.81,0,6.44,30.37,0,10.01,377.72,0.91,23.16,1.77,0,0,0,0.93,0,0,86.35,0,0,8.2,0,75.86
 60-70,0,0,0,0,5.63,0,0,240.99,1.94,0,2.46,41.34,0,0,0,134.46,29.69,2.66,0,1.88,24.48,0,6.18,488.35,0,21.87,14.01,0,0,5.47,0,0,0,119.01,0,0,16.2,0.77,65.42
 72-82,0,0,0,0,2.41,11.43,0,496.45,4.36,1.27,4.47,83.46,0.56,0,0.98,102.56,10.82,5.61,4.87,2.64,29.03,0,10.48,496.11,0,41.78,6.34,0,0,0,0,0,0,99.49,3.98,0,32.64,0.91,28.54
 84-94,0,0,0,0,0.56,5.23,0,311.3,0,0,0,46.12,1.26,0,0,191.73,22.35,0.8,0,1.76,23.71,0,11.7,321.16,1.33,14.47,3.03,0,0,3.26,1.17,0,0,52.7,0,0,22.85,8.16,30.44
 96-106,0,0,1.07,0,5.24,24.4,0.73,400.76,0,1.95,1.72,63.61,2.31,0,0,193.85,36.49,9,1.54,1.94,32.33,4.19,1.29,318.11,1.2,46.24,7.09,0,0,0,0.58,0,0,23.84,0.81,5.89,24.37,1.54,49.68
108-118,0,0,0,0,2.26,15.54,0.44,353.78,1.88,0,0,50.74,0,0,2.64,177.87,76.31,5.69,0,8.42,29.3,0,3.79,359.89,5.24,33.39,5.52,0,10.27,5.85,0.43,0,0,28.44,0,0,18.47,1.28,22.51
120,0,0,0,0,8.8,2.65,0,142.99,2.29,0,0,73.76,1.79,0,1.85,201.94,43.51,4.43,0,0,41.52,0,1.91,515.07,7.18,25.33,0,0,12.37,2.92,2.43,0,0,18.97,1.81,0,10.4,1.05,27.18
