stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.69,0,0,0,0,0,0,0
  5-6,26.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.75,12.22,0,0,0,0,273.45,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.8,18.39,0,0,10.36,0,49.2,16.44,0,0,0,0,0,0
 14-21,0,0,0,8.58,3.75,0,0,0,3.27,0,0,1.33,0,0,0,153.71,0,0,0,0,1.18,21.68,0,0,20.12,1.23,21.55,0,0,0,116.9,0,0,0,0,0,0,0
 24-34,0,0,0,17.85,0,0,1.69,0,8.58,0,0,4.98,2.01,0,0.6,461.89,0,11.04,5.19,0,0,67.76,0,4.74,273.9,0,348.86,2.73,0,0,46.86,2.16,4.32,0,0,3.52,0,0
 36-46,0,0,0,16.28,0,0,2.36,0,0.83,0,2.55,5.92,21.08,0,3.72,179.56,0,5.01,0,0,1.72,52.23,0,2.23,521.12,0,430.66,0,0,0,55.33,0,0.77,0,0,0,0,0
 48-58,0,0,0,11.98,0,0,8.67,0,3.69,0,1.41,1.36,259.2,0,6.01,83.78,0,3.28,0,2.65,4.19,31.92,0,1.01,215.15,0,210.02,2.92,0,0,73.23,0,5.31,0,0,0,0,0.54
 60-70,0,0,0,36.35,0,0,22.17,0,1.7,0,0,4.59,200.91,0,5.75,65.72,0,14.77,0.92,0,2.93,26.36,0,1.02,152.3,0,197.41,0,0,0,99.69,0,5.17,35.07,0,1.96,0,0
 72-82,0,22.47,0,162.35,0,0,15.23,1.39,3.85,1.83,5.24,50.49,126.34,1.06,6.14,119.37,0,23.75,6.28,0,5.28,57.31,5.56,2.11,221.11,9.68,312.11,0,0,2.36,86.35,0,0,215.7,0,0,0.77,5.09
 84-94,0,18.12,0,197.36,8.1,0,28.88,0,11.48,0.75,1.2,92.14,175.6,1.84,17.6,224.09,0.68,38.21,0.73,0,5.93,49.04,0,0,242.74,0,369.13,2.88,0,0,255.6,0.67,1.74,657.54,1.38,2.46,1.64,0
 96-106,0,19.63,0,549.91,9.99,2.56,45.71,0,18.58,3.18,6.78,249.88,6.35,0,17.56,285.21,2.14,61.4,25.25,0,21.54,104.87,0.75,1.77,170.53,0,605.24,1.53,0,1.92,430.46,1.4,10.03,1123.91,0,2.11,2.56,0.62
108-118,0,40.27,2.19,490.85,10.57,0,31.47,0,43.87,3.44,17.25,336.93,2.74,1.81,20.3,333.73,0,46.43,6.94,0.89,20.5,115.65,1.08,2.19,206.11,0,373.6,0.64,0,0,386.57,0,0.75,1157.37,0.8,4.6,0,0
120,0,11.67,3.17,516.99,10.21,0,5.95,0,32.53,1.6,5.49,225.83,0,0,7.94,235.62,2.67,57.07,13.79,0,12.04,43.65,0,0,133.09,0,310.88,0,0,0,350.94,2.39,0,520.33,0,1.35,0,0
