stage,blastomeres,endoderm,eye,glial,gut,mesenchyme,neural,vasculature
  3-4,13.41,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.29,0
 36-46,0,0,0,0,0,0,0,1.58
 48-58,0,0,0,1.13,0,0,3.16,0
 60-70,0,0,0,0,0,0,2.65,0.75
 72-82,0,0,0,2.49,0,0.55,4.07,0
 84-94,0,1.01,0,0,0,0,10.36,0
 96-106,0,0,0,0,0,1.8,0,0
108-118,0,0,1.46,0,0.67,1.97,0,0
120,0,0,0,0,0,0,8.93,0
