stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0.63,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,8.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,85.27,0,0,0,0,1.6,0,0,1,0,0,0,0,0,11.24,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0.6,0,164.68,0.69,0,0,0,0,0,0,0,0,0.57,0,0,0,7.46,0,0,0,0,0,0.81,0,0,0.78,0
 96-106,0.95,0,4.67,8.84,1100.03,19.81,0,0,1.73,3.88,1.94,1.69,0,0,1.63,13.76,0,1.08,89.8,1.24,0,0,9.93,0,1.89,1.21,0,2.56,0
108-118,0,0,3.96,1.67,4494.73,94.31,0.66,0.61,0,33.54,5.73,2.99,1.69,7.27,9.8,33.04,5.89,6.37,171.1,0,0.55,0,18.68,1.92,0,0,1.98,0,6.38
120,0,0,14.02,17.3,1995.26,60.75,0,0,2.66,6.86,1.26,0,5.64,0,18.22,44.07,0,0,214.23,3.57,0,12.53,6.85,0,0,0,1.15,0,0
