stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,0,0,0,0,0,0,0,0
 14-21,0,2.7,0,0.89,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93,0,0,0,89.67,0,0,0,0,0,0,46.03,0,0,0,0,0
 24-34,0,0,0,0.7,0,0,7.28,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,0,463.97,0,3.65,1.16,0,0,0,175.18,0,0,2.33,0,0
 36-46,0,0,0,0.72,0,0,16.14,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,1.04,1112.6,0,6.04,1.46,0,0,0,288.75,0,0,0,0,0
 48-58,0,0,0,0,0,0,84.63,0.38,0,6.65,0,0,0,0.46,0,0,5.56,2.6,5.06,0,0,0.82,1812.08,0,1.99,1.14,0,3.24,0,351.35,0,0,0,0,2.69
 60-70,0,0.89,0,17.77,0,0,181.67,0,0,6.84,0,0,0,0,0,0,0,0,8.94,0,0,8.86,2767.8,0,4.67,0,0,0.66,0,566.45,0,0,0.84,0,6.95
 72-82,0,0.54,0,9.21,0,0,258.24,0,0,26.74,0.67,0,0,0,0,0,1.52,0,16.66,0,0,0.57,2706.28,0,0,1.29,0,0,0,316.67,2.03,0,0,0,0
 84-94,0,4.44,0,24.5,0,1.17,234.65,0,1.18,31.17,0,0.7,0.91,0,4.06,0,0.89,0,12.43,0,0,0.71,1729.7,0.65,4.24,6.38,0,0.62,0,209.57,4.03,0,0,2.23,0
 96-106,0,1.36,0,16.53,0,0,215.8,0.68,0,37.27,0.58,0,0,0,0.75,0.84,2.16,1.26,18.4,4.78,0,0,1424.46,0,0,4.42,0,6.64,0.78,67.7,0,0,0,0,1.4
108-118,0,0.57,0.59,3.81,0,0,152.99,0.98,0,52.44,0.63,0,1.76,0,0,0,1.03,0,14.99,0,3.11,1.07,1376.43,0,1.31,8.3,0,1.49,0,67.45,0,1.53,0,0,0.65
120,0,3.64,0,1.16,0,0,205.02,0,0,161.35,0,0,0,0,0,0,3.79,0,15.83,0,0,0,1909.57,0,0,2.09,0,2.35,0,172.41,0,0,0,0,0
