stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,64.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0.91,0,0,1.41,0,0,0,0,0,4.42,0,0,0,0,0,0,0
 24-34,0,1.34,1.27,0,0,0,0,0,0,0,0,0,0,11.44,0,0,0,0,2.65,0.81,0,0,0,0,52.27,0,1.23,0,0,0,0,0
 36-46,0,0,0,0,0,2.69,0,0,0,0.57,0,0,0,4.4,0,0,0,0,13.51,0,0,0,0,0,103.8,0,2.47,0,0,0,0,0
 48-58,0,0,0,0,0,1.97,0,0,0.91,0,0,0,0,19.11,0,3.24,0,0,12.84,0,0,0,0,0,50.8,0,2.86,0,0,0,0,0
 60-70,0,0,0,0,0,4.13,0,0.76,0,0,0,0,0,22.31,0,0,0,0,2.95,0,0,0,0,0,36.64,0,6.65,0,0,0,0,0
 72-82,0,0,0,0,0,4.38,0,6.59,0,0,0,0,0,76.48,0,1.91,0,0.54,27.06,0,0,0,0,0,77.23,0,6.48,0,0,0,0,0
 84-94,0,0,0.59,1.52,0,12.39,0,0,0,0,0,0,0.62,125.57,2.56,0,0,0,21.08,0,0,1.05,0,1.07,95.47,0,2.1,0,0,0,0,0
 96-106,0,0,0.66,8.84,0,45.06,0,2.59,2.31,0,1.93,0,0,500.42,0,11.68,3.79,2.26,48.22,0,4.03,0.96,0,20.06,144.55,0.6,0,0.99,0,1.94,0,2.39
108-118,0,0,0.76,4.72,3.16,16.38,0,2.57,0,0,1.02,0.44,0,734.49,0,11.26,0,0,72.3,0,0,0,0,12.58,156.3,0,10.9,0,0,1.32,0.61,6.1
120,0,0,5.34,0,0,15.32,1.14,0,1.53,0,0,0,0,625.89,0,1.59,0,0,49.51,0,0,0,0,14.02,143.19,0,3.08,0,1.52,0,0,0
