stage,blastomeres,eye,hatching.gland,liver,neural,paraxial.mesoderm
  5-6,9.71,0,10.93,0,0,0
 10-12,0,6.04,0,0,7.77,6.93
 24-34,0,0,0,2.65,1.03,0
