stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.67,61.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.74,0,0,0,0,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.64,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,23.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.29,0.85,0,0,0,0,0,0,1.76,2.33,0,12.63,0,0,0,0,0
 24-34,0,0,0,3.43,0,0,1.17,0,1.54,0,0,0,0,0.88,0,0,0,0,0,2.3,0,0,1.61,313.51,0,1.59,0,0,2.81,0,0,0,0,0.62,63.16,0,0,12.04,0,0.72
 36-46,0,0,0,0,0,0,1.46,1.97,1.24,31.92,0,0,0,3.65,0,0,0,0,0,3.64,0,0,0,357.29,0.88,0,2.44,0,1.85,0,0,0,0,0,105.9,0,0,0.6,0,0
 48-58,0,0,0,3.07,0,0,7.4,0.44,0,73.35,0,0,0,9.24,0,0,0,0,0,2.63,0.46,0,0.73,189.5,0,0,1.06,0,2.58,0,0,0.37,0,0,75.92,0,0,0,0,0
 60-70,0,0,0,1.26,0,0,7.71,1.62,4.79,86.15,0,0,0,1.71,0,0,0,0,0,12.9,0,8.91,1.07,163.41,0,0,0,0,4.96,0,0,0,0,0,58.13,0,5.02,0,3.61,0
 72-82,0,0,0,2.61,0.63,0,51.97,0,0,61.28,0,0,0,2.13,0,0,0,0,0,35.91,0,7.23,0.51,144.84,0,1.04,2.41,2.23,6.61,0,0,0,0,0,14.97,0,7.06,3.2,35.19,0
 84-94,0,0,0,3.48,0,0,76.15,0,3.54,61.8,0,0,0,13.62,0,3.6,0,0,0,9.71,1.61,5.76,1.99,128.58,0,0,0.63,2.48,19.04,0,0,0.9,0.69,0,19.88,1.34,15.11,2.38,30.68,0
 96-106,0,0,0,2.71,11.81,0,61.47,0,1.72,57.69,0,0,0,12.78,0.93,0,1.41,0.59,0,23.49,1.75,6.26,4.28,225.29,2.6,2.23,0.68,5.34,16.18,0,0,0,0,0,14.71,0,10.85,2.21,26.19,0
108-118,0,0,0,8.62,2.73,4.22,158.84,0.98,2.93,90.79,0,0,0,18.49,1.85,0,1.28,0,3,29.77,7.02,4.4,5.15,254.92,1.46,1.07,2.95,9.33,20.39,0,0,0.59,0.57,0,10.71,0,18.42,1.94,20.97,2.93
120,0,0,0,12.11,0,0,221.91,5.69,0,170.25,7.66,0,3.24,17.59,0,0,0,0,0,19.19,0,12.5,8.12,575.31,0,0,8.76,16.5,23.51,0,1.12,3.81,0,0,22.57,0,20.32,18.99,29.13,0
