stage,axial,blastomeres,eye,glial,liver,mesenchyme,neural,periderm,pronephros,spinal_cord,taste
  3-4,11.6,0,0,0,0,0,0,0,0,0,0
  5-6,6.77,7.14,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,12.24,0,0,0,0
 10-12,0,0,4.63,0,0,0,5.2,0,7.07,0,0
 14-21,0,0,0,0,0.97,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.09,0
 48-58,0,0,0,0,3.72,0,1.4,0,0,0,0
 60-70,0,0,1.52,0,0.72,0,0,0,0,0,0
 72-82,0,0,0,1.04,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,2.74
 96-106,0,0,0,0,0,0,0,0,0,0,3.17
108-118,0,0,0,0,0,0,0,0.44,0,0,0
120,0,0,0,0,0,7.34,0,0,0,0,0
