stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,3.37,0,0,26.91,0,0,0,0,0,4.75,0,0,0,0,0,0,0,0,0,0,0,86.46,8.59,0,0,15.52,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1.11,0.98,5.04,0,1.04,0,0,0,3.94,0,0,0.84,0,0,0,0,0,0,4.44,0,0,5.5,47.74,1.29,5.01,0,0.92,0,0,1.81,0.98,2.36,2.12,49.91,0,0,1.82,0,0
 24-34,0,0,0,0,7.8,0,0,0,1.24,0.63,0,0,0,0,7.82,0.63,1.4,4.16,15.77,0,0,3.04,160.58,1.69,21.86,0,0,0,2.09,0,0,0,0,216.56,0,0,0,0,0
 36-46,0,0,16.57,0,40.36,0,0,1.27,14.87,0.59,0,1.71,0,0,9.75,0.6,0,4.41,22.07,0.72,0,0.69,246.66,7.72,17.11,1.6,0,0,1.28,0,0,0,0,180.47,0,0,4.77,0,12.49
 48-58,0.54,0,3.5,0.46,60.91,0,0,1.17,16.46,0,0,0,0,0,0.43,1.75,0,0.48,16.27,0.42,0,2.73,161.08,0,1.93,0.43,0,0,0,0,0,0,0,70.37,0,0,1.9,0,0
 60-70,0.65,0,8.49,0,78.34,0,0.59,0,312.18,0,0,0,10.62,0,7.63,0.67,0,0.93,37.3,0,0.98,0.83,144.12,0,18.93,0,0,0,4.59,0,0,0,0,24.48,0.61,0,2.6,0,0.69
 72-82,0,0,1.44,0.65,89.03,0,0,0,363.7,0,0,1.28,4.15,0.53,9.8,1.07,0,0,28.45,0,2.6,1.98,134.36,0,7.75,1.27,0,2.25,2.1,0,0,0,0,11.86,0,2.22,1.46,0.72,1.18
 84-94,0,0,14.42,3.52,64.56,0,0,0,506.21,0,0,1.92,1.54,0,6.39,0,1.44,0,74.37,0,1.41,2.45,85.3,0,3,0,0,4.42,2.29,0,0,0,0,10.9,0,4.52,8.61,0,0
 96-106,1.37,0,8.57,5.1,156.7,0,7.54,1.52,509.71,0,0,0.86,4.22,0,1.45,0.57,0,0,34.13,2.71,0,1.63,90.72,0.68,3.22,0,0,0,2.46,0,0,0,0,20.64,0,3.7,3.5,0,0.89
108-118,0,0,4.68,0.77,65.53,1.66,0.52,0,1647.51,0,0,1.87,1.01,1.51,3.91,0,2.53,2.02,43.38,0,0,2.68,127.71,0,5.52,1.84,0,0,0.88,0,0,0.54,0,2.21,2.02,0.5,3.05,6.45,0.59
120,0,0,10.74,9.23,123.45,1.1,0,0,2616.29,0,0,2.09,2.66,0,4.88,0,3.5,1.51,30.97,0,0,10.8,197,0,14.66,0,0,0,8.47,0,0,0,0,9.21,0,0,2.96,0,0
