stage,blastomeres,eye,glial,immune,mesenchyme,muscle,neural,paraxial_mesoderm,periderm
  3-4,329.72,0,0,0,0,0,0,0,0
  5-6,661.93,0,0,0,0,0,0,0,7.58
  7-9,4.3,7.33,0,0,0,0,41.42,3.44,0
 10-12,0,0,0,0,0,0,9.22,4.49,0
 24-34,0,0,0,0,0,0,4.2,0,0
 36-46,0,0,0,0,0,0,2.89,0,0
 48-58,0,2.42,0,0,0.75,0.45,8.72,0,0
 60-70,0,3.13,0,0,0,0,20.5,0,0
 72-82,0,0.99,0.58,0.49,0.89,0,16.94,0,0
 84-94,0,0,0,0,0.58,0,15.37,0,0
 96-106,0,2.74,1,0,0,0,2.82,0,0
108-118,0,2.75,0,0,0,0,13.04,0,0
120,0,0,0,0,0,0,26.49,0,0
