stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.81,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0,3.09,18.03,0,0,0.84,0,0,2.21,0,1.03,4.5,0,0,0,0,0,0
 24-34,0,0,0.6,3.52,0,0,0,0,0,0,0,0,58.71,0,0,13.83,26.08,0,1.06,3.89,0,0,0,0,0,0.63,7.22,0,0,0.79,0,0
 36-46,0,0,0,0,0,3.19,0,0,2.77,0,0,0,110.3,0,0,15.27,32.15,0,0,1.66,0,0,0,0,0,0,6.3,0,0.62,0,0,0
 48-58,0,0.41,0.45,0.41,0,3.59,4.11,0,0,0,7.19,0,172.76,0,1.18,14.25,15.97,0,0,0,0.4,0,0,0,0,0,9.87,0,0,0,0,0
 60-70,0,0,0,3.36,0,2.24,5.16,0,2.51,0,0,0,264.13,0,4.51,27.91,33.6,0,0,0,0,0,0,0,0,0,1.2,0,1.5,4.2,2.11,4.7
 72-82,0,0,0,4.96,0,0.89,8.61,0,5.12,0,0,1.59,340.37,0,13.02,21.79,5.46,0,0,0,1.1,0,0,0,0,0,9.09,0,2.65,2.52,4,0
 84-94,0,0,2.15,16.77,0,6.29,17.94,0,3.12,0,0,0,329.87,0,9.15,13.13,6.79,0.62,0,1.84,0,0,0,0,0,0,4.3,0,3.61,5.09,2.22,0
 96-106,0,0.67,0,2.88,0,2.73,22.06,0,6.41,0,0.87,0,252.37,0,5.93,4.33,24.27,0,0,0,4,0,0,1.71,0,0,1.3,1.68,16.68,4.47,2.65,0
108-118,0,0,0,1.06,1.67,6.55,10.03,0.51,4.49,1.42,0,0,283.52,0,6.92,5.35,18.94,0,0,0,10.39,0.58,0,0,0,0,4.63,0,4.7,0.48,2.3,0
120,0,7.81,0,4.16,0,0,3.48,0,0,0,0,0,189.05,1.56,7.57,25.88,40.56,0,0,0,0,0,0,0,0,0,0,0,0,7.03,4.8,0
