stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,64.93,774.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.8,0,0,0,0,0,0,0,0,0,0
  5-6,30.79,219.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0,41.46,0,0,0,12.4,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.24,0.9,0.87,8.4,0.85,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,139.42,0,0.84,1.07,0,0,0,0,0,3.39,78.47,0,0,0.81,0,0
 24-34,0,0,0,1.79,1.85,0.85,17.29,0,0,0,0,0,0,0,0,2.17,0,0,0,13.56,0,0,1.03,1000.37,0.59,16.63,0,0,1.91,0,0,0,0.66,164.78,0,0,4.9,0,2.07
 36-46,0,0,0,0,14.85,0.71,80.26,0,0,0,0.76,0,0,0,0,0,1.21,0,0,12.6,0,0,1.46,3409.53,0,3.46,0.84,0,0,0,0,0,0,206.4,0,0,12.1,0,3.49
 48-58,0,0,0,0,5.27,0,172.63,1.63,3.28,3.3,20.49,0,0,0,3.41,3.66,0.46,1.12,0,23.4,0.95,0,0.7,7101.66,5.33,11.7,0,0,2.73,0,0,0.55,0,373.49,0,0,2.26,0,12.03
 60-70,0,0,0,0,6.76,0,335.84,0,3.8,0,13.76,0,0,0,0,0,0.69,0,1.63,34.77,0,0,0.67,7133.22,0,5.76,11.37,0,13.15,0,0,0,0,502.71,0,0.9,1.25,0,0.91
 72-82,0,0,0.62,0,53.52,3.08,685.98,0,0,16.4,40.2,1.04,0,0,0.8,0,11.61,0.51,3.06,60.96,0,2.39,5.51,10190.76,0,12.59,6.42,0,6.16,3.31,0,4.35,0,328.81,0,0,8.29,2.21,7.02
 84-94,0,0,0,0,41.44,3.19,633.8,4.27,4.12,1.31,23.96,0.97,0,0,4.85,1.2,0,0,0,49.37,0,4.46,1.6,4983.1,0,9.07,5.83,0,0.7,0,2.8,0,0,239.75,0,2.06,3.29,4.84,6.59
 96-106,0,0,12.72,0,60.02,1.75,439.7,0.72,4.14,0,39.31,1.43,0,1.61,0.57,1.93,0.82,1.08,10.96,33.9,9.01,1.26,0.92,5471.85,0,13.31,8.58,0,10.85,3.82,0,0,0,77.53,4.78,0.66,4.11,1.49,7.56
108-118,0,0,6.92,0,12.23,10.46,480.32,0,18.05,1.44,52.62,1.2,0,0,2.44,0.84,3.19,5.26,2.56,45.87,0,1.38,1.61,5448.3,1.6,2.15,6.08,0,3.87,0,0,0,0,52.87,0,0,2.76,0,4.66
120,0,0,25.07,0,47.34,0,817.86,0,4.99,0,27.34,2.4,0,0,0,1.4,25.78,1.84,6.54,55.93,0,24.75,4.81,7408.29,0,1.26,7.79,0,2.66,0,0,0,0,290.27,0,0,0,0,0
