stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,54.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662.81,0,0,0,0,0,0,0,0,0
  5-6,6.77,59.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.62,0,0,0,0,0,1396.1,0,0,0,0,0,0,0,0,0
  7-9,17.93,0,0,9.62,0,0,18.89,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,138.11,0,0,0,23.61,0,478.53,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.75,0,0,0,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,162.77,3.72,0,0,40.32,0,66.02,0,13.45,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,107.81,4.01,3.44,0,0,0,1.19,1.89,0,5.98,0,27.18,0,0,16.12,0,4.58,1.25,0,10.24,2.96,0.87,1.08,0,0,0,280.87,0,0,4.42,10.56,0,0,0,0,0
 24-34,0,0,0,0.67,114.95,0.91,7.64,0,20.96,0,3.45,0.63,0.66,29.38,0.8,98.74,0,4.67,0.61,5.35,25.35,12.38,0,8.94,230.21,0.8,6.69,0,0,0,888.26,0,1.45,5.75,11.85,0,0,29.45,0,0.77
 36-46,0,0,0,0,94.04,0,18.04,0,45.63,0,14.74,0,0.76,53.34,0,35.09,0,1.52,7.26,11.89,54.05,4.77,0.67,3.74,550.75,0.64,4.28,0,0,0,889.56,0.81,0.58,0,7.6,0,0,11.31,0,0
 48-58,0,0,0,0,77.19,0,17.38,0,28.95,1.5,3.65,0,1.87,54.98,0.37,9.45,0,2.09,5.89,3.58,67.91,18.36,1.36,3.47,348.4,0,5.44,1.67,0,0.46,504.32,0,0.56,0,7.78,0,0,21.58,0,3.66
 60-70,0,0,0,0,88.74,0,16.74,0,37.5,2.12,15.84,0.64,0.66,35.37,1.55,29.81,0.79,5.85,0,0,86.51,3.97,18.45,6.81,179.93,1.86,2.81,2.75,0,0,302.17,0,0,0,5.28,7.02,3.56,8.97,0,6.14
 72-82,0,0,0.54,0,101.06,0.96,10.68,0,21.94,3.27,22.17,21.05,0.5,41.48,0,29.52,2.68,3.22,0.96,0,218.12,4.22,5.65,8.21,228.92,1,0.58,3.61,0,11.07,182.9,0,0,0,2.03,47.3,2.09,35.96,4.95,2.33
 84-94,0,0,0,1,228.96,5.32,11.75,0,76.15,3.31,9.45,29,3.75,32.64,2.35,36.48,0,8.01,1.81,1.26,192.65,9.68,3.38,3.86,275.81,9.69,2.6,4.39,0,7.92,701.68,0,0,0,1.45,121.58,0.84,26.67,1.11,0
 96-106,0,0,0,0,221.63,2.42,33.57,0,41.75,5.24,21.21,84.13,1.32,45.14,1.88,52.14,0,6.45,31.05,0,180.53,6.75,4.28,14.07,188.4,0,9.61,4.64,0,0.79,588.6,0,0,0,0,174.97,7.59,24.94,3.79,0
108-118,0,0,0,0,316.6,0,18.27,1.39,94.28,3.84,26.82,98.95,5.48,22.92,1.29,50.36,5.86,11.27,1.94,0,238.96,14.09,8.99,7.82,145.09,0.67,4.6,5.12,0,8.65,550.67,0,1.06,0,0,245.65,2.29,41.8,0.55,0
120,0,0,0,0,257.32,1.34,9.78,0,75.27,0,10.28,32.06,0,43.18,0,35.87,0,14.58,0,0,191.82,10.5,12.34,14.36,32.99,0,4.83,6.25,0,0,315.99,0,0,0,0,67.41,6.25,21.45,0,0
