stage,epidermis,immune,ionocyte,mesenchyme,mucous,mural_cell,neural,periderm,vasculature
 48-58,0,0.51,0,0,0,0,0,0,0
 60-70,0,5.33,0,0,0,0,0,0.65,0
 72-82,0,0.65,0,0,0,0,0,1.01,0
 84-94,1.67,6.41,0,0,0,0,0,0,0
 96-106,2.09,4.3,0,5.98,0.71,2.37,1.8,7.15,0
108-118,0,3.73,1.57,0,0,0,0.59,4.68,1.45
120,0,7.78,0,18.07,0,0,0,16.16,0
