stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.99,0,0,0,0,0,0,0,8.21,0,0,0,0,0,0,0,0,0,0,0,0,4.53,0,3.31,0,0,0,0,0,0,0,0
 10-12,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.72,0,2.28,0,0,0,2.71,0,0,0,0,0,0,0,0.81,0,1.1,30.89,0,0,0,0,0,4.04,0,0.98,3.8,0,0,0,0
 24-34,0,1.2,0.82,0,4,0,0,0,0,0,1.33,0,0,0,0,0,4.71,0,0.78,28.57,0.7,0.73,0,0,9.03,0,0.84,0,9.19,0,0.9,0,0
 36-46,0,0,0,0,1.3,0,0,0,1.25,0,0,0,0,0,0,0,3.1,0.55,2.41,25.63,3.97,0,0,0,2.05,0,0,0,0.69,0,1.01,0,0
 48-58,0,0,0.37,0,0.44,0,0,0,7.4,0,0,0,0,0,0,0,8.85,0,0,28.88,5.31,1.36,0,0,3.83,0,0,0,2.33,0,3.9,0,2.62
 60-70,0,0,0,0,4.14,0,0,0,0.76,0,0,0,0,0,0,0,21.11,1.84,0.87,15.56,5.1,3.91,0,0,2.44,0,0,0,3.23,0,1.15,0,0
 72-82,0,0,0.97,0,4.62,0,0,1.18,3.38,0,0,0,0,0,0,0,16.75,0,2.62,25.23,3.85,0,0,0,0,0,0,0,2.59,0,5.26,1.13,0
 84-94,0,0,0.95,0,4.38,0,2.62,0,0,0,0,2.42,0,0,0.78,0,14.71,0,1.12,5.94,0,0,0,0,11.48,0,0,0,0,2.69,2.89,0,0
 96-106,0,0,0,1.7,2.77,0,0.9,0,7.58,0,0,2.73,0,0.71,0,0,14.98,0,0,34.8,0,2.38,0,0,8.89,0,0,0,0,0,5.08,0,0.62
108-118,0,0,0,0.7,1.2,0,0,0,4.74,0,0,0.66,0.59,0.61,0,0.6,15.92,0,0,10.5,0,0.68,0,1.49,10.03,0,0,0,0,0,0,0,0
120,0,0,0,0,5.16,2.11,0,0,1.51,0,0,4.27,0,0,0,0,1.7,0,0,11.34,4.62,0,0,0,6.04,0,0,0,10.07,0,0,0,0
