stage,endoderm,epidermis,eye,gut,ionocyte,liver,mesenchyme,neural,olfactory,periderm,pronephros,spinal.cord
 10-12,3.04,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.01,0,0,0,0,2.87
 24-34,0,0,0,0,0,0,0,0,0,0,0.65,0
 48-58,0,0,0,0,0,0,0.69,0,0.48,1.44,0,0.51
 60-70,0,0,6.27,0,0,0,0,1.62,0,1.1,0,0
 72-82,0,0,0,0,6.84,1.32,0,0,0.93,1.95,0,0
 84-94,0,0,0,0.97,0,0,0,5.31,0,0,0,1.18
 96-106,0,0,0,0,0,0,0,1.72,0,2.16,0,0
108-118,0,2.03,0,0,0,0,0,0,0.75,3.81,0,0
120,0,0,0,0,0,0,0,0,0,3.38,0,0
