stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,560.88,6517.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.02,0,0,0,0,0
  5-6,168.19,3488.69,0,0,0,0,0,0,0,0,0,0,0,89.06,7.03,0,8.05,19.32,0,0,0,0,0
  7-9,3.25,0,0,0,5.19,0,0,0,0,0,0,0,0,340.3,14.44,0,93.62,0,14.08,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,67.58,0,0,20.64,0,16.68,0,0,0,0
 14-21,0,0,0,5.94,5.09,0,0,0,0,0.95,1.34,0,0,39.42,0,0,3.06,0,0.9,10.47,0.85,6.85,13.48
 24-34,0,0,0,0,0.85,0,0,0,0,0.66,3.7,0,0,28.9,0.65,9.61,0,0,0,0,0,0.6,5.56
 36-46,0,0,0,0,0.71,0,0.8,0,0,2.18,2.57,0,0,39.91,0.58,7.68,0,2.02,3.64,0,0,0,2.59
 48-58,0,0,0,0,1.04,10.47,1.29,0,0,0,0,0,0,12.53,0.49,6.14,0,1.89,1.12,0,0,0,3.16
 60-70,0,0,0,2.13,9.11,0,2.68,0,0.98,0,0,0,0,7.29,5.7,1.22,0,0,1.49,0,0,0,0
 72-82,0,0,0,0,0,0,2.87,0,0,0,1.35,0,0,14.39,0.74,3.57,0,1,1.69,0,0,0,2.61
 84-94,0,0,0,2.24,5.79,0.71,7.69,0,1.89,1.24,3.3,0,0,16.67,3.73,1.97,0,0,0,0,0,0,0
 96-106,0,0,0,6.15,0,0,1.69,0.66,0,0,1.62,0.63,0.61,0,0,2.05,0,0,12.84,0,0,0,0
108-118,0,0,5.89,0,0,0,6.05,0,2.44,0,1.96,0,0,1.75,1.36,6.2,0,0,10,0,0,0,0
120,0,0,0,0,0,0,8.87,0,0,0,0,0,0,0,0,2.54,0,1.79,9.2,0,0,0,0
