stage,blastomeres,mesenchyme,neural,paraxial.mesoderm,somites
  3-4,20.06,0,0,0,0
  5-6,18.28,0,0,0,0
  7-9,5.43,0,4.67,4.24,0
 10-12,0,0,26.07,21.8,6.54
 24-34,0,1.33,0.97,0,0
