stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,melanocytes,mesenchyme,neural,olfactory,otic,pgc,pronephros,slow.muscle,spinal.cord
  3-4,10.65,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.58,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,24.17,0,0,0,0,0,0
 14-21,0,0.91,0,0,0.91,0,0,0,1.55,0,0.91,2.12,0,12.01
 24-34,0,0,0,0,7.91,0,0,6.13,0,0,0,12.67,0,12.32
 36-46,0,0,0,0,2.81,0,0,3.69,3.47,0,0,0.74,0,8.54
 48-58,0,0,0,0,6.33,0,0,5.91,0.5,0,0,2.87,0.41,11.14
 60-70,0,0,0,0,5.67,0,0,11.54,0,0.73,0,1.06,0,9.56
 72-82,0,0,3.02,0,4.35,0,0.61,4.08,1.23,0,0,0.86,0,8.05
 84-94,0,0,4.46,0,1.23,0,0.82,19.76,1.3,1.36,0,2.05,0,8.91
 96-106,0,0,12.03,0,4.15,0.58,0,11.04,2.64,2.51,0,0,0,1.9
108-118,0,0,0,0,2.92,0,0,0,0.68,0.48,0,0.61,0,1.82
120,0,0,0,1.66,0,0,0,11.27,0,0,0,3.74,0,0
