stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.91,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.56,0,0,0,0,0,0,0,0,0,0,0,0,3.37,0,0,0,14.04,0,0,0,0,0,0,0,0
 10-12,6.19,0,17.75,0,0,3.26,0,0,0,0,0,0,0,0,0,47.14,0,0,0,0,3.81,6.03,0,0,0,0,0,0
 14-21,0,0,0.84,22.82,1.24,0.82,0,1.25,1,0,0,0,1.64,0,1.89,8.59,0,0,0,0,4.76,0,1.96,3.92,11.91,0,0,0
 24-34,0,0,0.67,8.81,5.89,1.19,0,0,0,2.48,0.79,0,2.69,0,1.56,10.12,1.29,1.32,0,0,0.83,0,1.04,0.75,8.19,0.73,0,0
 36-46,0,0,0,1.37,1.75,0,0,1.07,0,0,0.98,0,1.4,0,0,15.63,0,1.45,0,0,0,0,0,0,4.24,1.8,0,0
 48-58,0,0,0,0,8.79,2.49,0,1,0,0,4.04,0,2.1,0,0,9.65,0,0.38,0,0,0,0,0,0,3.07,0,0,3.98
 60-70,0,0.89,0,1.58,26.4,5.11,0.68,0,0,0,6.2,0,1.68,0,0,3.39,0,0,0,0,3.29,0,0,0,21.25,0,0,0
 72-82,0,0.93,0,0,172.82,5.5,0,0,0,0,0.61,0,4.41,4.32,0,3.04,1.92,0,0,0,0,0,0,0,5.25,0,0,0
 84-94,0,0,0,0.75,138.62,0.78,0,1.77,0,0,0,0,11.75,0,0,0.87,0,0,0,0,0,0,0,0,2.07,3.81,0,0
 96-106,0,0,0,0,248.12,2.25,0.64,0,0,0,2.46,0,2.75,0,1.2,11.49,1.05,1.67,4.63,0,0.87,0,0,0,1.89,0.68,1.22,0
108-118,0,0,0,2.61,121.77,0.95,1.16,4.46,0,1.31,11.85,0.65,7.45,0,0,3.35,0,1.13,0,0,0,0,0,0,0,1.35,1.3,0
120,0,0,0,1.35,144.19,0,1.83,4.05,6.14,0,12.49,0,0,0,0,0,0,15.55,0,0,0,0,0,0,0,0,0,0
