stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,9.16,0,0,0,0,0,0,0,0,0,57.79,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.64,0,0,0,0,0,126.38,0,0,0,0,0,0,0,0,0,0,0,24.69,0,0,0,5.65,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.31,0,3.97,0,51.4,0,0,0,0,0,162.78,0,0,0,0,0,95.73,0,3.65,0,0,0,7.26,0,0,0,0,0,0,0,0,2.41,1.06,0,0,0,0,24.84
 24-34,0,0,0,1.61,0,0,1657.36,0,0,0,0,0,10.74,0,0,0,2.29,0,94.65,0,1.42,0,0,4.2,123.75,0,1.55,0,0,0,7.4,3.96,0,0,9.03,0,0,2.58,0,2744.64
 36-46,0,0,0,4.2,2.89,0,1836.72,0,0,1.9,6.34,0,0.97,0,0,0,42.98,0,46.01,0,2.61,0,0,0.86,97.53,1.45,2.14,0,0,0,3.89,2.8,0,0,8.04,0,0,0.8,0,6323.22
 48-58,0,0,0,2.77,0,0,1715.64,0,4.37,1.03,15.11,0,11.56,0,0,0,19.5,0,14.9,0,6.76,0,0,6.66,115,0,0,0,0,0,1.19,0.38,0,0,30.35,0,0,0,0,3051.97
 60-70,2.52,0,0,4.7,0,0,15486.63,0,0,1.24,15.05,0,12.75,0,0.65,0,0,0,9.01,0,17.37,0,0.63,0,191.85,0,0,0,0,0,0.63,12.15,0,0,20.29,0,0,0,0,1389.36
 72-82,0,2.55,0,52.38,15.3,2.97,27049.38,6.59,0.65,14.32,45.02,7.23,9.17,1.74,3.73,1.23,10.61,1.68,3.26,11.57,80.27,1.84,2.76,7.98,342.39,3.02,2.68,5,0,2.07,18.33,33.08,1.5,0,45.55,6.26,3.15,14.05,18.57,438.44
 84-94,0,3.19,0,102.48,47.15,0,37172.38,3.01,22.05,2.12,77.95,19.64,0.7,0,8.36,3.45,27.27,7.36,0,4.2,111.61,0.62,7.31,17.89,315.02,7.34,3.63,1.47,0,0,49.36,47.99,2.36,0,27.08,5.48,0,6.55,0,219.38
 96-106,0,0.83,0,120.78,124.47,4.91,41223.83,29.27,14.69,5.29,57.58,4.31,0,1.61,17.52,4.38,11.87,3.27,70.85,0,123.57,8.31,9.1,16.62,551.21,1.93,8.99,13.24,0,0,68.38,45.85,27.12,0,14.14,1.63,5.98,23.81,3.22,79.5
108-118,25.79,2.44,0,49.14,25.93,7.83,46151.24,1.42,9.81,6.67,77.19,12.56,0,1.27,3.25,7.83,13.75,2.8,32.46,7.46,167.91,6.37,8.28,12.05,689.61,2.64,13.9,14.64,0,4.05,49.17,47.91,1.67,0,12.2,2.18,3.71,15.15,0.97,65.25
120,0,0,0,126.69,62.16,0,48529.74,0,56.51,8.02,93.18,5.62,0,6.72,10.39,10.73,27.51,8.05,17.56,0,232.43,1.47,1.38,9.09,866.6,25.26,24.25,1.76,0,0,60.83,22.77,1.32,0,28.34,0,2.2,67.88,0,27.55
