stage,blastomeres,endoderm,epidermis,eye,glial,immune,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,pgc,spinal.cord,vasculature
  3-4,26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,38.77,0,15.35,0,0,0
 10-12,0,7.76,0,0,0,0,0,0,0,0,7.34,0,5.8,0,0,0
 14-21,0,0,0,1.04,0,0,0,0,0,0,0,0,0.89,0,0,0
 24-34,0,0,0,3.06,0,0,1.09,0,0,0,5.82,0,0,0,1.5,1.46
 36-46,0,0,0,0,0.68,0,0.63,0,0,0.8,4.85,0,0,2.08,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.52,0.65,0,0,0,0
 60-70,0,0,3.85,0,0,0,0.58,0,0,0,1.76,0,0,0,0,0
 72-82,0,0,0,0.6,0.82,0.59,1.03,0,0,0,2.51,0,0,0,0,0
 84-94,0,0,0,0,0,15.8,1.47,0.78,0.95,0,8.64,0.65,0,0,0,0
 96-106,0,0,0,0,0,20.78,0,0,0,0.76,1.13,0,0,0,0,0
108-118,0,0,0,0,1.65,35.53,4.16,0,2.23,0,23.94,0,0,0,0,0
120,0,0,0,0,0,82.83,0,0,0,0,9.07,0,0,0,0,0
