stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2.06,7.36,5.38,0,0,0,0,2.11,0,2.04,0,0,0,0,0,0,6.31,0,0,7.15,41.78,10.33,0.93,0,0,1.89,1.72,2.1,2.87,21.45,0,5.15,0,0
 24-34,0,0,3.44,0,4.84,0,0,0,0,1.32,1.17,0,0.77,0,0,0.68,0,9.32,0,0,3.15,56.86,0,3.78,0,0,2.83,0.71,0,0,9.8,0,2.65,0,0
 36-46,0,0,11.74,1.22,18.57,2.03,0,0,12.12,0,0,0,0,0,0,0,0,25.97,0,1.32,4.61,190.26,0,3.11,0,0,5.48,0.59,0,0,27.91,0,6.44,0,0
 48-58,0,0,10.03,0,52.73,0,0.81,0,10.92,0,3.1,0,0,0,1.27,0,0.4,26.12,0,1.56,7.46,221.46,0.57,1.42,0,0,0.98,1.65,0,0,38.65,0,6.29,0,0
 60-70,0,0,5.96,0,144.65,0,4.31,0.84,8.78,0,0,0,0,0,1.02,0,1.56,43.93,0,0,1.24,168.49,0,0,0,0,2.2,0,0,0,30.48,0.59,4.92,2.04,0
 72-82,0.88,0,0,0.74,162.49,1.33,0,0,20.37,0.64,0.75,0,0,0,0.89,0,0,26.14,0,2.85,1.14,192.65,0,0,0.54,1.64,2.08,0.64,1.81,0,19.88,1.32,8.96,0,3.92
 84-94,0,0,3.69,4.31,77.61,0,1.88,0,25.12,0,1.31,1.4,0,0,1.75,0,0.67,36.06,2.02,4.54,3.36,205.63,2.01,0,0.92,0,2.28,0,0,0,7.62,2.45,1.98,0,2.12
 96-106,0,0,0.6,1.53,77.44,0,0,3.05,30,0,0,0,0,2.64,0,0,0,39.29,0,1.58,0.79,136.32,0,0,0,0,4.04,0,0,0,6.28,0,14.61,0,0
108-118,3.31,0,2.65,0,36.14,0.64,0.68,0.48,23.55,0,2.87,0,0,2.12,0.41,0,0,35.88,0,0.97,5.36,127.45,0,3.07,1.63,2.05,1.63,0,0,0,11.89,0,7.85,0,0
120,0,0,5.3,1.18,40.6,0,0,0,42.8,0,3.06,0,0,2.6,0,0,0,29.8,0,0,0,130.82,0,0,2.51,0,0,0,0,0,15.77,0,23.28,0,0
