stage,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,melanocytes,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
 10-12,3.04,0,14.12,0,0,0,0,0,0,0,4.26,5.15,0,0,5.83,0,0,0,0,0
 14-21,0,0,0.83,0,0,0.83,0,0,0,0,6.43,0,0,0,0,0,0,1.9,0,0
 24-34,0,0,0.61,0,0,0,0.69,0,0,1.33,12.33,0,0,0,0,0,0.76,1.69,0,0
 36-46,0,0,1.63,2.03,0,0,0,0,0,0.79,9.54,0,1.48,0,0,15.84,0,0,0,0
 48-58,0,0,4.44,0,0,7.96,0,7.28,0,4.02,7.24,0,1.97,2.83,0,7.52,0.61,0,0,0
 60-70,0,5.42,1.17,0,1.48,0,1.72,0,0,2.6,18.96,1.04,2.71,1.01,0,0,0,1.09,0.9,0
 72-82,0,3.69,19.14,0,0,2.36,0,0,0,1.27,11.21,0,1.9,0,0,0.9,0,0,0,0
 84-94,0,0,7.28,0,0,0,0,0,0.98,0,20.08,0,0,0,0,0.6,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.78,0,0,0,0.6,0,0,0,3.09,0,1.45
108-118,0,0,1.04,0,0,0,0,1.42,0,1.82,2.62,0,0,0,0,0.82,0,0,0,0
120,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1.13,7.07,0,0
