stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,0,152.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0
  5-6,0,86.67,0,0,0,0,0,0,0,0,0,0,0,12.95,0,0,0,0,0,0,0,0
  7-9,3.28,4.75,4.42,0,0,42.69,0,0,0,0,0,0,0,96.83,19.68,0,55.8,0,0,0,0,0
 10-12,0,9.32,21.73,0,0,12.35,0,0,4.29,0,0,0,0,263.72,0,0,76.17,0,0,6.84,0,0
 14-21,0,0,0,0.86,1.04,5.13,0,1.6,0,0,0,0,4.44,23.12,1.4,0,0,0,7.43,0,4.81,15.14
 24-34,0,0,0.64,0.73,0,0,0,0,0,0.79,0,0,0,4.59,0,0,0,0,0,0,0,2.24
 36-46,0,0,0,0.6,0,0,0,2.28,0,0,0,0.56,0,3.03,0,0,0,0.85,0,0,0,3.01
 48-58,0,0,0,0,0,1.46,0,8.36,0,0,0,0.81,0,6.33,0,0,0,0,0,0,0,4.13
 60-70,0,0,0,0,0,1.56,0,18.66,0,0,2.57,0,0,18.09,0,0,0,0.63,0,0,0,0
 72-82,0,0,0,0,0,0.5,0,7.54,0,0,0,0,0.58,8.78,0,0.53,0,0,0,0,0,4.41
 84-94,0,0,0,0,0,0,1.2,2,0,0,0,0.97,0,4.48,0,0,0,0,0,0,0,1.32
 96-106,0,0,0,1.07,0,0,0,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,5.66,0,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,3.51,0,16.36,0,0,0,0,0,0,0,0
