stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,51.77,383.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.43,613.33,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,66.3,0,0,0,9.43,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.41,0,0,0,30.76,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.51,18.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.33,4.69,0,0,270.91,0,0,0,0,36.18,0,0,0,0,0,0
 14-21,0,0,0.84,4.33,3.95,0,0.84,0,0,0,4.41,13.49,0,0,0,0,0,0,0,4,0,31.97,7.15,5.09,0,0,12.25,0,0,28.89,140.56,385.95,23.85,0,0,0,0,0
 24-34,0,0,0,7.07,0.76,0,1.51,0,0,0,0,0,0,0,0.64,0,0,0,0,8.75,0,16.18,47.84,3.57,0,0.62,0,0,0,0,64.89,26.15,56.24,0,0,12.13,0,0
 36-46,0,0,0,2.5,0,0,7.88,28.36,0,0.8,0,0,0,7.8,0,0,4.51,0,0,0.8,0,8.05,84.89,1.33,0,0.72,0,0,14.8,0,92.54,2.9,122.68,0,0,0,0,0
 48-58,0,0,0,4.43,0,0,29.56,25.48,0,0.51,12.57,0.41,0,0,0,0,1.13,2.65,0,23.14,0.95,61.16,153.42,1.15,0.84,0.4,0,0,1.95,0,103.96,0,167.23,0,0.95,3.38,0,7.92
 60-70,0,0,0,3.34,0,0,69.83,48.7,1.28,2.26,1.52,0,0,5.22,5.18,0,2.72,0,0,26.69,18.08,38.18,150.56,0,4.76,1.8,0,0,0,1.38,56.35,0,144.08,0,1.98,1.31,2.75,0
 72-82,0,0,0,2.19,4.4,3.14,103.96,23.51,0,0,25.58,2.91,0,6.26,0,0,2.71,0,0,69.33,12.14,47.97,227.17,1.19,0,4.39,0,0,0.96,0,29.03,0,68.17,3.6,7.46,3,18.14,8.35
 84-94,0,0,0,4.23,6.28,0,117.96,32.32,0,1.32,28.33,0.58,0,1.33,0,0,4.31,0,5.92,55.96,11.18,42.38,234.63,0,1.84,1.19,0,0,0.72,0,45.47,0,44.56,13.82,15.81,0,14.33,6.95
 96-106,0,0,0,20.6,10.24,1.71,117.22,42.66,0.89,0,45.11,6.05,0,0.62,0.63,0.59,1.41,15.74,1.03,62.47,9.31,66.77,310.38,1.22,6.92,1.96,0,8.71,7.09,0,55.86,0,34.01,50.53,21.41,18.25,23.61,0
108-118,0,0,0,11.92,6.18,1.38,69.87,65.46,2.07,0,40.6,0.5,0,0,1.43,1.24,3.75,0.48,0,111.36,24.81,43.88,336.91,2.1,1.56,7.43,0,4.26,3.48,0,67.74,0,38.31,76.51,17.33,0,1.96,4.4
120,0,0,0,8.69,0,0,81.57,58.13,0,0,59.48,1.74,0,0,0,0,0,0,0,126.14,80.4,43.91,454.96,0,0,3.01,0,4.42,1.21,0,54.61,0,85.94,18.97,0,0,18.35,0
