stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.82,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,3.37,0,0,0,0.9,0,0,263.35,0,0.64,0.67,0,0,16.62,0,0,0.59,23.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.62,0,10.55,0,0,0,10.47,0,0,2068.47,0,0,0,0,0,9.97,0,0,0,142.95,0,0,0,0,2.33,0,0,0,3,0,0.49,0.63,0,0
 84-94,0,0,1.66,0,0.7,0,0,0,2.1,0,0,910.14,0,0,0.89,0,0,1.17,0,0,0.71,6.1,0,0,0,0,1.35,0,0,0,2.91,0,0,0,0,0
 96-106,0,25.59,45.73,0.59,705.64,0,5.17,0,34.21,7.47,0.96,9557.13,2.78,19.12,1.43,23.01,0,36.7,3.62,8.95,1.62,276.52,1.21,1.26,19.47,10.92,55.27,0,0,0,1.35,2.42,0.76,8.23,2.97,9.11
108-118,2.35,16.46,5,17.6,110.25,0.68,2.66,3.26,40.4,4.32,0,11659.57,75.21,1.85,0.87,0,6.21,376.26,3.54,4.87,2.42,172.85,0.46,3.03,0.48,2.11,14.37,88.13,0.57,0,13.29,1.21,3.81,3.21,0,6.26
120,0,14.43,18.17,0,1061.35,0,0,3.12,41.14,4.31,8.27,24521.59,1.77,0,0,0,10.94,835.34,0,0,5.01,817.48,0,0,0,0,10.5,0,0,0,0,0,0,12.1,12.69,0
