stage,blastomeres,erythrocytes,eye,fin.mesenchyme,glial,immune,ionocyte,iridophores,mucous,neural,paraxial.mesoderm,periderm,somites,spinal.cord
  3-4,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.32,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.64,4.25,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.11,0,0,0,0
 14-21,0,1.12,0.86,0,0,0,0,0,0,1.65,0,0,0.9,0
 24-34,0,0,0,0,1.04,0,0,0,0,2.98,0,0,0,1.39
 36-46,0,0,0.82,0,0,0,0,0,1.53,2.29,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.4,2.2,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.49,2.52,3.31,0,0,3.75,0,0
 96-106,0,0,0,3.05,1,0.58,0,0,0,5.79,0,0.59,0,0
120,0,0,0,0,0,2.03,0,0,0,14.28,0,0,0,0
