stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,mesenchyme,mucous,muscle,neural,notochord,periderm,spinal.cord,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0
 14-21,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.71,0,0,0,0,0,0,0,0.63,0,0.64,0.96,0
 36-46,0,0,0,0,0,0,0,0,0,0,10.6,0,0,0,0
 48-58,0,0,1.98,0,0,0,0,1.63,0,0,23.07,0,0,0,0
 60-70,0,0,0,0,0,1.35,0,0,0,0,112.77,0,0,1.03,0
 72-82,0,0,1.85,4.54,1.45,0,0,0,0,0.96,163.27,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,122.45,0,0,0,0.63
 96-106,0,0,14.79,0,0,0,1.56,0.82,2.3,0,73.94,0,0,0,0
108-118,0,0,11.2,0.81,0,0,0,1.47,0,0,89.1,0,0,0,0
120,0,5.14,0,0,0,0,0,0,0,0,101,10.25,0,0,0
