stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,xanthophores
  5-6,61.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0
 10-12,5.3,0,4.9,0,0,0,0,0,0,0,0,0,35.66,0,0,8.85,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,28.74,0,0,0,0,1.88,0,6.68,0,0
 24-34,0,0,0.62,0,0,0,0,0,0,0,0,0,94.57,0,0.83,0,0,0.98,0,17.63,0,0
 36-46,0,0,0.87,0.62,1.53,0,0,0,0,4.47,0,0,141.16,0,0,0,4.39,0,0,18.33,0,0
 48-58,0,0.43,8.99,0,0,0,0,0,0,1.26,0,0.41,144.6,0.6,0,0,0,0,1.3,30.71,0,0.89
 60-70,0,0,73.63,0,5.36,0,0,0,0,4.56,0,0,305.7,0,0,0,0,0,0,63.59,0.84,1.29
 72-82,0,6.93,46.56,0,10.09,0,0,0,0,1.59,0.56,0,241.58,0.54,0,0,0,0,0,18.63,0,0
 84-94,0,0,110.28,0.91,0.68,1.94,0,1.14,0,4.9,0,0,270.11,2,0,0,0,0.83,0,32.25,0,0
 96-106,0,1.24,93.2,0,7.6,0,0,0,0,2.55,0,0,146.45,0,0,0,0.62,0,0,8.21,0,1.29
108-118,0,5.06,85.19,0.47,1.89,0.65,0.82,1.38,5.15,2.04,0,0,232.78,0,0,0,0,0,0,10.68,0,0
120,0,11.13,132.94,6.38,31.1,0,0,3.48,0,0,0,0,285.48,0,2.2,0,0,1.12,0,10.53,0,0
