stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,33.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.5,0,0,0,18.69,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.41,0,1.01,0,3.41,0,0,0,0,0,0,0,0,0,0,0,2.89,0,0,0,44.26,0,0,2.17,0,0,6.34,2.18,2.09,0,41.22,0,0,0,0,0
 24-34,0,2.61,1.03,5.96,0,14.55,0,0,3.01,3.1,0,0,0,0,0,0,0,7.68,0,0,14.74,195.2,2.67,0.72,5.54,0,0,0,8.83,0,0.7,107.2,0,0,0,0,0
 36-46,0,0,0,19.08,0,37.84,0,4.59,0,11.44,0,0,0,0,0,0,0,2.94,0,0,1.08,161.65,6.8,7.74,2.33,0,0,0.93,0.72,0,0,90.58,0,0,0,0,0
 48-58,0,0,0,1.32,0,210.85,7.34,0,0,18.93,0,0,0,0,0,0.54,0,1.88,0,0,0,229.39,0,5.05,2,4.77,0.55,0.38,3.28,1.13,0,91.96,0,0.4,0,0,0
 60-70,0,0,0,0,0,1027.6,0,0.69,0,33.44,0,0.9,0,0,0,0,0,3.58,0,0.75,0.88,334.63,2.21,4.99,6.21,0,0,6.71,0.62,1.41,0,96.9,0,0,4.55,0,5.07
 72-82,0,0,0,3.3,0,1683.46,0,0,1.07,42,0,0.87,0.53,0,5.43,0.79,0,13.23,1.05,0,0,358.62,0,10.04,11.19,0,0,1.93,0,0.71,0,84.86,0.95,0,0,0.91,0
 84-94,0,0,0,9.28,1.3,1223.04,0,0,1.93,31.5,0,0,0,3.43,0,0.78,0,15.59,6.34,0.58,0,368.15,0.76,10.65,18.81,0,0,2.99,0,1.53,0,48.67,0,0.64,2.92,4.1,0
 96-106,0,0,0,0.58,13.1,1131.06,0.86,0,1.42,45.88,2.49,0.96,5.85,3.08,0.77,1.86,6.63,17.11,3.82,0,1.46,263.75,0,5.34,11.69,0,0,14.86,0.69,0.61,0,35.98,2.64,2.52,0,2.34,3.6
108-118,0,0.93,0,10.59,0,802.61,0.68,0.42,0,24.27,0.7,0,3.15,4.29,0.89,1.43,0,14.61,0,4.77,0.53,317.09,0,5.78,17.69,0,0,15.6,0,5.02,0,34.07,3.42,0,0,1.93,2.14
120,0,3.01,0,7.55,0,657.77,2.09,2.53,0,55.98,9.78,0,1.11,0,0,1.54,0,41.03,0,0,2.72,705.61,0,6.61,17.05,0,0,21.01,0,2.07,0,92.43,0,0,0,9.29,0
