stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,0,0,0,0,0,0,0,0,0
 24-34,3.3,0,0,0,0,0,0,3.07,0.72,0,0,1.6,0,0,0,71.36,0,0,1.45,10.93,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,2.56,0,0,0,2.79,0.56,0,0,260.22,1.31,0,0,25.35,0,0,0,0,0
 48-58,3.65,0,0,15.71,0,0,4.61,0,0,0,0,12.96,0,0,0,574.33,0,0,0.53,41.63,0,0,0,0,0
 60-70,0.9,0,0,85.31,0,1.48,18.03,0,0,0,0,39.05,0,0,0.82,888.02,0,0,0,86.29,0,0,0,0,1.66
 72-82,2.04,0.56,0,121.37,0,0,4.18,0.75,0,0,0,39.8,0,1.14,0,1020.71,0,0,0,89.16,2.43,1.26,1.22,0.49,0
 84-94,6.92,0,0,93.09,0,0,8.18,0,0,6.58,0,61.68,0,0.98,0,793.91,3.8,0,0,69.52,0,3.68,0,2.49,0
 96-106,1.06,0,0,102.79,0,0,3.59,0,0,0,0,60.73,0,1.82,0,633.08,1.1,0,0.73,20.32,0,1.3,0,13.14,0
108-118,5.94,0,0.55,142.38,2.46,0,5.74,0,1.01,0,0,61.03,0,3.86,0,590.65,0,0.87,0,15.85,0,1.18,0,13.53,5.66
120,3.11,0,0,106.7,0,0,14.73,1.15,0,2.63,1.07,40.52,0,0,0,851.33,0,0,0,18.31,0,0,4.29,4.81,0
