stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,24.9,465.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.78,0,0,0,0,0,0,0,0,0
  5-6,169.23,1220.72,0,0,0,0,0,0,0,0,0,35.4,0,0,0,0,0,0,0,0,0,0,0,90.24,15.57,0,0,18.82,0,0,0,0,0,0,0,0,0,0
  7-9,16.19,27.36,0,112.72,0,0,81.02,0,0,0,0,118.4,0,0,0,0,0,0,0,0,0,0,0,945.43,33.53,0,0,249.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,41.26,0,144.73,0,34.15,123,0,0,0,0,36.57,0,0,0,0,0,0,0,0,0,0,0,1230.49,48,0,0,398.22,0,6.05,6.12,37.29,0,0,3.51,0,0,0
 14-21,0,0.93,0,1.14,62.44,86.76,8.04,0,0,58.62,1.99,0,0,0,3.27,0,0,0,0,28.32,0,0,16.05,708.28,6.46,6.74,4.91,55.15,1.01,0,154.31,6.91,0,35,442.44,0,1.14,0
 24-34,0,0,0,1.38,8.08,8.16,70.6,0,0.99,130.24,0,3.85,0.89,0,3.94,0,0.86,0.61,0,57.52,1.56,0.81,13.93,996.19,0.7,10.58,3.58,0,2.3,0,0,7.79,3.72,21.93,533.67,0,17.39,0
 36-46,0,0,0,0,1.33,0,190.61,0,1.45,62.56,0,0,2.67,0,11.34,2.15,0,0,0,27.27,0,0,3.1,532.89,0.58,13.46,0,0,0.95,0,0,2.8,0.59,0,293.14,0,0,0
 48-58,0,0,0,0,0,0,145.12,0,0.81,58.78,0,0,0,0.84,5.82,0,0,0.37,6.3,34.8,0,1.12,6.97,238.69,0,7.98,0,0,2.93,0,0,2.68,0,0,162,0,0,0.42
 60-70,0,0,0,0,1.4,0,97.28,0,0,120.11,0,0,0,1.33,0,0,0,0,0,40.16,4.56,0,0,116.61,0,16.26,0,0,0,0,0,0,0,0,152.81,0,0,0
 72-82,0,0,0,0,0.68,0,57.56,0,2.63,266.01,0.94,0,0,0,0,0,0,1.95,0,37.38,0,0,1.34,92.3,0,32.56,0,0,0,0,0,0.76,0,0,59.59,2.68,0,0
 84-94,0,0,0,1.01,1.33,0,35,0,2.06,224.66,0,0,0,0,0,0,1.35,0,0,61.6,0,1.03,0,84.45,0,48.28,0,0,0,0,0,3.93,0,0,69.05,5.52,1.65,0
 96-106,0,0,2.18,0,0,3.68,18.09,0,0,140.68,1.04,0,0,0.81,0,0,0.79,2.98,0.58,31.68,0,0,0,39.61,0,34.43,3.78,0,1.5,0,0,0,0,0,17.29,2.76,0,4.75
108-118,0,0,0,0,4.15,0.88,39.62,0,2.57,180.56,1.79,0,0,7.86,1,0.51,0,2.5,0,38.56,0,0.98,0.73,80.35,0,36.57,0,0,0,0,0,1.21,0,0,25.71,0.9,1.17,0
120,0,0,0,0,0,0,13.68,2.48,0,145.53,0,0,0,17.97,3.52,1.01,0,0,0,18.15,0,2.76,0,80.79,0,22.85,0,0,0,0,0,0,0,0,39.4,0,0,0
