stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2.18,1.81,33.13,2.83,28.1,0,0,0,1.19,0,0.85,0,6.83,0,0,0,0,21.08,0,0,5.03,26.46,0,4.18,0.82,101.3,0.97,0,0,2.42,7.41,0,0,0,0,0
 24-34,0,0,3.1,0.67,49.94,0,0.83,0,0,0,1.84,0,3.95,0,0,0,0,6.22,0,0,2.7,29.59,0,0,0,63.14,0,0.83,0,0,15.32,0,0,0,0,0
 36-46,0,0,0.56,0,38.98,0,0,0,1.26,0,0.79,0,4.54,0,0,0,15.28,11.53,0,0,0.93,12.51,0,0,0,70.41,0,0.88,0,0,4.86,0,0,0,0,2.95
 48-58,0,0,0.9,0,100.34,0,0,0,5.11,0,1.46,0,0,0.38,0,0,24.57,6.04,0,0.52,0,35.02,0,0,0,19.03,0,0,0,0,5.35,0,0,0,0,5.15
 60-70,0,0,0.57,0,369.84,2.93,0,0,0.79,0,0,0,0,0,0,0,4.04,7.52,0,0,1,13.93,0,0,0,1.53,0,0,0,0,1.3,0,0,2.37,0,8.83
 72-82,0,0,1.01,5.88,706.56,0,0,0,19.19,0,0.68,0,0,0,0,0,14.49,1.08,0,0.71,0,38.71,0,0,0,4.73,0,0,0,0,0,4.15,0,6.11,0,10.18
 84-94,0,0,3.64,0,931.33,0,0,0,11.94,2.27,0,0,0.6,0,0,7.98,24.07,2.61,0,0.85,0,15.93,0.62,1.36,0,9.7,0,0,0.79,0,3.89,0,1.37,0,0,0
 96-106,0,0,3.03,6.97,661.72,0,0.57,0,14.76,0,0,1.52,0,0,0.88,0,13.09,5.64,0,0,0,40.27,0.6,0,0,7.3,0,0,0,0,0,0.62,0,0,0,4.53
108-118,0,0,5.53,0,880.81,0.78,0,1.91,35.27,0,0,0,0,0,0,0,21.2,15.64,0,0,1.8,38.66,0,2.77,0,2.01,0,0,0,0,3.76,0,0.67,0,1.27,6.49
120,0,0,6.09,3.26,696.33,0,0,0,38.05,0,0,0,0,0,0,0,0,0,2.05,0,6.79,13.02,0,0,0,0,0,0,0,0,19.88,0,0,6.43,0,0
