stage,axial,blastomeres,epidermis,eye,glial,hatching_gland,immune,mesenchyme,mucous,neural,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,15.46,56.98,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.88,60.21,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.43,0,0,0,0,0,29.02,4.52,0,0,0
 10-12,0,0,0,0,0,4.76,0,0,0,4.27,11.29,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.33,0,0,1.52,0
 24-34,0,0,0,0,0,0,0,0,0.91,9.49,0,3.66,0,0.72
 36-46,0,0,0,1.34,0,0,0,1.4,0,0,0,0,0,0
 48-58,0,0,0,0.38,0,0,0,0,0,7.75,0,2.58,0,0
 60-70,0,0,5.42,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.86,0,3.62,0,0
 84-94,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0
120,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0
