stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,310.22,6176.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.73,0,0,0,0,0,0,0,0,0,0,0
  5-6,310.26,4160.81,0,0,0,0,0,0,0,0,0,34.02,0,0,0,0,0,0,0,0,0,0,0,45.67,41.74,0,0,61.58,0,41.46,0,0,0,0,0,0,0,0,0,0,0
  7-9,107.11,89.72,0,85.37,0,0,148.04,0,0,0,0,47.71,0,0,0,0,0,0,0,0,0,0,0,1420.54,172.45,0,0,912.14,0,0,45.93,0,0,0,0,0,0,0,0,0,0
 10-12,0,29.77,0,191.55,0,42.24,56.4,0,0,0,0,34.36,0,0,0,0,0,0,0,0,0,0,0,627.29,270.9,0,0,559.75,0,7.72,35.37,0,169.65,0,11.69,0,0,0,0,0,0
 14-21,0,1.36,1.62,9.72,69.73,148.2,8.91,4.47,0,6.89,14.77,0,6.76,0,0,0,0,28.19,0,170.67,1.12,0,117.72,171.09,64.32,0,1.92,23.49,0,0,8.59,84.42,155.97,13.18,73,163.27,0,0,149.19,0,0
 24-34,0,0,1.73,0.59,55.77,35.74,42.11,6.32,17.95,11.1,2.02,0,25.86,4.7,33.86,1.21,2.46,24.79,5.72,478.37,0.69,0,299.89,328.97,20.15,4.01,0.74,0,0,7.64,1.47,0,254.97,1.17,45.46,124.75,0,0,575.42,0,11.13
 36-46,0,0,2.62,0,23.06,13.46,29.74,7.05,40.15,17.45,0,0,12.08,30.17,39.68,2.71,0,12.74,7.31,771.79,4.32,11.95,246.06,269.48,6.11,1.42,0,0,0,0,1.81,0,230.23,0,0,79.88,0,3.5,367.08,0.78,10.06
 48-58,0,0,0,0,17.67,16.16,29.35,11.53,78.55,34.53,0,0,9.99,31.85,30.64,15.56,0,8.59,16.52,778.57,1.55,15.81,133.05,163.16,5.87,3.2,6.62,0,0.39,0,0,0,82.62,0,0,45.78,0,3.19,256.27,0,25.02
 60-70,0,0,0,0,10.65,11.34,57.71,7.42,36.67,10.24,6.01,0,27.31,58.44,34.1,3.41,1.56,0.62,14.73,825.59,0,30.13,76.57,110.22,0.98,1.03,0.58,0,13.44,0,0,0,96.73,0,0,36.12,0,18.16,274.99,3.46,48
 72-82,0,0,0.53,0,6.41,6.37,77.42,0,83.07,20.24,18.76,0,6.52,52.41,34.18,0.49,0,13.43,5.03,911.68,0.59,27.6,74.72,64.08,0,4.13,1.31,0,4.57,0,0,0,116.48,0,0,13.33,1.21,22.47,313.96,11.99,25.86
 84-94,0,0,3.4,0,8.4,13.02,55.86,2.43,34.5,6.85,53.98,0,5.44,82.64,49.29,16.72,1.91,11.11,10.69,786.09,0,26.55,51.79,90.82,1.52,0.91,3.15,0,9.38,1.49,0,0,175.08,0,0,3.97,0,20.59,360.77,10.92,14.2
 96-106,0,0,0.61,0,23.57,27.69,42.72,0,20.59,11.18,54.77,0,15.33,72.07,54.12,12.1,0,5.58,13.14,612.43,0.69,22.72,40.11,107.14,2.86,4.34,1.13,0,23.99,12.68,0.64,0,169.94,0,0,7.57,0,10.89,349.77,20.01,41.07
108-118,0,0,1.7,0.49,10.94,4.14,30.79,2.77,19.56,16.05,65.69,0,12.13,68.83,87.93,13.9,0.84,0,13.74,571.07,1.53,35.11,33.11,82.97,1.09,1.04,0.71,0,21.17,1.46,0,0,150.59,0,0,2.25,5.48,12.28,311.94,24.32,39.84
120,0,0,3.52,0,5.46,24.66,9.62,2.34,18.23,3.66,114.31,5.2,10.76,109.68,27.32,19.23,1.74,4.9,9.36,510.7,0,10.64,33.5,66.74,0,0,0,0,20.28,4.2,0,0,119.37,0,0,26.66,0,6.52,337.52,3.73,4.25
