stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,16.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,0,0,0,5.84,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,3.79,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,0,0,2.04,0,0,0,0,0,1.16,0,0.99,0,0,0,0
 24-34,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,120.29,0,0,0,0,0,0,0,64.34,0,0,0,0
 36-46,0,0,0,6.39,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,86.82,0,0,0,0,0,0,0,92.65,0,0,0,0
 48-58,0,0,0,0.37,1.21,6.68,0,0,1.67,0,0,0,0,0,7.83,0,0,0,194.55,0,0,1.73,0,0,0,0,93.66,0,0,0,0
 60-70,0,0,0,1.05,0,594.76,0,0.87,0.58,0,0,0,0,0,9.82,0,0,2,442.39,0,0,2.38,0,0,0,0,159.84,0,1.27,0,0.99
 72-82,0,0,0,15.79,1.42,2294.14,0.76,1.86,28.15,0.63,0.59,0.52,1.9,0.5,4.86,0,0,2.19,735.57,0,0,3.18,0,0.7,0,0,103.86,0,2.85,0.76,9.3
 84-94,0,0,0,3.02,2,1636.65,0,0,36.76,0,0,0,0,2.22,25.09,0.57,1.01,0,428.12,0,0,11.57,0,0,0,0,86.72,1.79,0,0,0
 96-106,0,0,2.86,13.26,0,2043.04,0.94,0,31.73,0.77,1.36,1.47,0,0,6.89,0,0,0,542.59,3.96,3.52,7.16,0,0,0,0,36.34,0,1.88,0,2.85
108-118,0,0,0,9.34,0,1653.56,1.65,0,14.84,0,2.22,0,0.43,0.9,19.58,0,0,4.47,622.03,0,0,2.75,0,0,0,0,47.22,0.68,0,0,0
120,0,0,0,24.24,0,975.52,1.72,0,49.2,0,15.6,0,0,0,9.13,0,0,0,1242.05,0,0,7.77,0,0,0,1.58,85.31,0,2.85,0,0
