stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,visceral.smooth.muscle
 14-21,1.07,1.24,0,0,0,0,0,0,0,0,0,0,0.96,7.32,0,1.46,0.81,0,1.81,0.89,0
 24-34,2.93,0,0.64,0,0,1.88,0,0,0,0,0,0,0,5.89,0.65,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.27,0,3.72,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,6.05,0,0.51,2,0,11.48,1.29,0,0,0,0,1.48,0
 60-70,0,0,1.77,0.86,0,0,0,0,0,0,0,2.5,0,1.29,0.75,0,0,0,0,0,0
 72-82,0,1.84,0.58,0,2.89,0.53,0,0,0,0,0,1.08,0,1.49,2.88,0,0,0.5,0,1.16,0
 84-94,0,2.32,0,0,0,0,1.95,0,0,1.49,0,3.82,0,3.87,0,0,0,0,0,0,0
 96-106,0,8.07,0,0,1.63,0,0,1.33,0,0.89,0,0,0.62,4.07,8.8,0,0,0,0,1.13,0
108-118,0,6.76,1.45,0,0,0,0,0,0.53,0,0,1.96,0,5.21,0,0,0,0,0,0,1.74
120,3.25,0,0,0,0,0,0,0,0,0,0,4.35,1.86,4.29,2.49,0,0,0,0,0,0
