stage,epidermis,erythrocytes,eye,ionocyte,lateral.line,neural,periderm,vasculature
 14-21,0,0,0.98,0,0,0,3.81,0
 24-34,0,0,0,0,0,0,7.25,0
 36-46,0,0,0,0,0,0,33.18,0
 48-58,0,0,0,0,0,0,17.34,0
 60-70,0,0,0,0,0,0,14.25,0
 72-82,3.32,0,0,0,0,0,15.21,0
 84-94,1.31,0,0,0,0,0,41.86,0.63
 96-106,4.25,1.14,0.62,0,1.98,0,32.85,0
108-118,2.9,0,0,1.19,0,0,19.06,0
120,7.29,0,0,0,0,2.47,5.88,0
