stage,eye,glial,heart,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pronephros,spinal_cord
  7-9,0,0,0,0,0,0,4.64,0,0,0,0,0
 10-12,0,0,0,0,0,0,5.4,0,0,6.31,0,0
 14-21,0,0.9,0,0,0,0,1.04,0,0,0,0,4.3
 24-34,0.64,1.06,0,0,2.14,0,1.89,0,0,0,0,2.51
 36-46,0,4.95,0,0,0,0,2.21,0,0.78,0,1.49,0.83
 48-58,0,0,0,0,0,0.48,1.11,0.88,0,0,0,2.03
 60-70,1.12,0,0,0,4.69,0,2.26,0,0.62,0,0,2.58
 72-82,0.52,1.89,0.9,0.79,0,0,0,1.4,0,0,0,0
 96-106,0,0,0,0,0,0,1.34,1.63,0,0,0,0
108-118,1.1,1.8,0,0,1.67,0,0,2,6.27,0,0,0.98
120,0,0,0,0,0,0,0,12.05,0,0,0,0
