stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,60.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,0,0,0,0,0
  7-9,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63,13.94,0,0,3.9,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,23.74,0,0,0,0,0,0,0,0,0,3.04,0,0,0,0,0,0,0,0,0,0,3.63,23.45,0,0,14.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.3,1.86,2.28,0,0,0,0,0,0,0,0,0,0,9.5,0.83,0,0,0,0,0,0,1.93,0.81,1.88,0,0,1.04,0,0,0,0.84,0,0,0,0,0
 24-34,0,0,0.84,0,0.95,0,0,0,0,0,0,0,2.86,0,0,108.58,0,0,0,0,0,0.76,0,1.99,23.04,0,34.34,0,0,0,0.83,12.76,29.55,0,0,0,0,0
 36-46,0,0,0,0,1.03,17.02,0,2.18,0.68,0,0,0.61,0,0,0,249.63,0,0,0,0,0.97,1.88,0,0,101.62,0,69.15,0,0,0,13.56,10.21,12.86,0,0,0.69,0,4.48
 48-58,0,0,0,0,0.44,0,0,6.19,0,0,0,3.6,33.53,13.53,0,163.83,6.7,0,0,0,1.7,5.53,0.91,0.68,69.97,0,47.42,0,0,0,0,2.38,7.26,0,0,1.88,0,2.69
 60-70,0,0,6.51,0,3.3,0,0,9.38,0,0,0,3.74,228.46,28.24,1.7,345.81,9.74,0.85,0,14.6,5.83,10.74,0,0,59.71,0,63.17,0,0,0,4.21,13.01,6.36,2.43,0.63,1.06,0,2.48
 72-82,0,0,63.22,0,4.07,3.39,0,44.06,0.95,0.8,9.83,14.45,919.91,7.19,0,249.9,0.56,0,0,14.26,17.95,16.68,0,0.56,288.98,0,116.92,2.34,0,0,2.8,0.57,13.6,8.66,0,1.31,3.41,0
 84-94,0,0,77.36,1.75,7.03,3.27,0,78.95,0,0,0.86,17.33,2002.55,29.45,0,389.53,6.63,0,0,10.15,17.53,19.33,1.32,2.43,123.18,0,111.69,1.04,0,0,19.26,4.92,8.49,16.19,0,0,0,13.86
 96-106,0,0,168.1,11.76,13.48,34.47,0,124.47,0.64,0.96,1.06,25.35,2572.88,0,0,503.4,5.02,4.64,0,30.39,42.75,30.28,5.77,5.41,883.58,0,187.76,4.53,0,0,24.45,0,5.51,32.66,2.07,27.49,6.58,11.92
108-118,0,0,80.94,15.29,14.7,9.38,2.89,69.72,1.97,4.19,1.82,6.67,2870.38,0,2.95,404.94,6.98,0.49,0.66,31.2,50.67,28.25,2.59,2.34,1034.62,0.46,132.48,4.5,0,7.11,10.85,5.11,0.72,37.26,2.9,5.24,3.87,13.51
120,2.37,0,152.1,4.83,11.51,13.06,0,108.82,0,0,0,6.03,1610.08,0,0,444.28,0,4.88,1.74,67.76,38.31,14.13,1.83,4.84,806.57,3.72,81.38,1.84,0,0,1.68,7.79,0,21.27,1.52,7.03,0,1.64
