stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,155.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.06,0,0,0,0,0,0,0,0,0
  5-6,42.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.62,0,0,0,0,0,0,0,0,0,0,23.08,0,0,0,0,0,0,0,0,0,0,0,58.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,16.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.36,5.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,352.9,0,0,0,0.91,0,0,0,0,0,0,0,0,0,6.42,0,0,1.14,558.14,0.93,0,0,0,0,0,1.05,0,0,153.38,0,0,0,0,0
 24-34,0,0,0,0,0,319.31,0,0,0,0.65,0.85,2.27,0,0,0,0,0,0,0,5.98,0,0,0,1040.1,0,0,0.82,0,0,1.83,0,0,0,276.33,0,0,1.56,0,0
 36-46,0,0,5.33,0,0,4663.81,0,0,0,13,0,0,0,0.97,0,0,0,0,0,5.8,0,0,3.12,1363.9,0,0,1.65,0,0,5.82,0,0,0,132.49,0,0,0,0,0
 48-58,0,0,53.4,2.31,0,21687.53,0.77,9.58,3.09,140.22,0,0,0,0,0,19.1,3.95,0,0.91,69.09,1.73,0.99,24.6,2199.59,7.68,0.84,4,0,0,3.88,0,0,4.12,165.64,0,0,8.33,0,34.72
 60-70,0,0,29.48,0,0,57058.13,2.35,0.96,2.06,156.13,1.66,0,0,2.21,0,12.19,3.3,10.34,6.76,111.61,1.01,5.39,3.93,1051.86,0.82,10.12,4.22,5.14,0,19.09,0,48.58,0,116.77,0,32.12,7.45,0,25.44
 72-82,0,3.52,237.75,8.15,0,71046.94,5.34,9.51,32.51,579.33,6.68,0,6.25,9.73,4.81,13.49,2.71,64.41,1.89,193.74,0.96,11.46,5.89,1533.25,1.66,25.4,15.43,4.01,1.74,10.04,0,4.46,0,54.6,1.36,0.93,21.95,10.87,23.12
 84-94,0,0,182.39,18.1,0,39839.52,10.55,40.51,23.94,755.63,3.59,2.81,3.39,7.55,1.22,37.98,1.3,1.49,0.67,229.5,4.01,29.81,28.25,1359.79,0,7.95,9.28,0,0,18.9,0,8,2.52,54.42,0.66,10.9,19.19,19.67,9.1
 96-106,0,0.91,197.15,44.97,1.05,39524.06,13.26,28.21,2.33,444.55,5.59,0,24.57,14.04,4.06,5.33,8.5,57.2,0,171.64,8.07,12.39,23.94,978.16,4.91,12.32,1.16,0,12.84,37.78,0,12.2,0,35.73,8.12,11.41,16.56,11.83,23.03
108-118,0,2.35,185.73,25.49,9.14,32039.22,0.65,4.99,6.37,190.96,4.45,0,0,14.36,2.47,3.2,0,6.74,8.98,116.35,0,34.26,12.3,989.23,3.61,5.1,13.67,0,1.14,24.06,0,2.96,0,4.15,24.62,1.35,10.96,7.55,1.35
120,0,0,100.35,3.12,0,14114.18,1.01,1.8,22.24,343.83,10.1,0,4.81,2.97,1.77,16.69,4.83,3.02,0,114.43,0,0,18.25,736.81,4.61,19.59,6.96,0,0,5.23,0,0,0,0,0,0,0,0,18.69
