stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,1005.26,12990.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.03,0,0,0,0,0,0,0,0,0
  5-6,3692.14,44668.46,0,56.82,0,0,0,0,0,0,0,0,53.31,0,0,0,0,0,0,0,0,0,870.9,124.15,0,0,142.69,252.13,0,0,0,0,0,0,0,0,0
  7-9,854.18,783.88,0,845.83,0,5.95,0,1445.59,0,0,0,0,890.16,0,0,0,0,0,0,0,0,0,19163.8,1943.94,0,0,7838.43,38.53,47.23,0,0,0,0,0,0,0,0
 10-12,18.99,229.71,0,521.86,0,27.01,0,784.42,0,0,0,0,172.36,0,0,0,0,3.73,0,0,0,3.87,7667.15,1908.94,0,0,3888.31,13.94,92.88,44.99,362,0,365.26,5.09,0,0,0
 14-21,0,0,0,5.1,15.58,6.43,0,8.02,0,0,2.88,4.43,1.35,1.07,0,0,0,0,0,4.59,0,6.67,132.33,18.14,0,1.1,4.71,0,6.92,43.68,2.29,10.22,101.37,25.67,0,1.9,7.24
 24-34,0,0,1.61,0.6,12.35,0.81,0,7.6,0.68,0.63,0.93,0,0,1.13,0,0,0,8.36,0,7.07,0,4.93,131.13,0.7,4.59,1.81,0,14.13,2.94,0,3.21,0,8.86,22.08,0,3.42,0
 36-46,0,0,0,0,0.77,0,0,44.28,0,0,6.28,0,0,0,0,0,0.8,8.6,0,3.93,0,13.39,80.8,3.79,1.02,0.8,0,4,0,0,6.51,0,0,16.13,1.04,3.3,0
 48-58,0,0,0,0,0.79,0,0,48.94,0,1.08,12.82,0,0,1.15,0,0,0,0,3.29,17.29,0,1.79,69.89,0,0,1.19,0,0,0,0,0,0,0,9.08,0,38.55,0
 60-70,0,0,0,0,1.61,0,2.15,264.15,0,2.08,7.25,0,0,0,0,0,0,0,0,27.31,0,0,58.85,0,0,0,0,0,0,0,0,0,0,4.46,0,92.05,0
 72-82,0,0,0,0,19.36,0,3.63,201.48,0,0,6.33,0,0,0.75,0,0,0,8.77,0,12.42,0,5.96,25.73,0,0,1.86,0,0.51,0,0,0,0,0,5.76,0,36.85,0
 84-94,0,0,0,2.08,0.74,0,10.34,97.24,0,2.61,2.92,1.75,0,2.81,3.18,0,0,0,0,7.64,0.8,1.81,12.12,0,0.8,0,0,0.89,0,0,1.48,0,0,0,0,16.5,0
 96-106,0,0,0,0,1.66,0,1.24,37.69,0,0,3.77,0,0,0,0,0.71,0,2.09,0,2.63,0,1.85,33.09,0,0,0,0,0.57,0,0,0,0,0,0,0,65.71,0
108-118,0,0,0,0.74,0,0.46,6.83,48.62,0,0,1.39,1.01,0,0,0,0,0,0,0,21.08,0,1.81,12.54,0,0,0,0,1.17,1.18,0,0,0,0,0,0,104.43,0
120,0,0,0,0,3.56,0,0,56.16,0,0,2.18,0,0,1.15,0,0,0,0,0,19.52,0,0,117.34,0,0,0,0,0,0,0,1.38,0,0,0,2.09,0,0
